Policy Type Name,a_group,Insured'S Gender,perfecture_name,address Count
Annuity(Annuity Certain ),51-60,1,Shizuoka,2
Annuity(Annuity Certain ),51-60,1,Tochigi,1
Annuity(Annuity Certain ),51-60,1,Tokyo,11
Annuity(Annuity Certain ),51-60,1,Toyama,5
Annuity(Annuity Certain ),51-60,1,Yamaguchi,1
Annuity(Annuity Certain ),51-60,2,Aichi,3
Annuity(Annuity Certain ),51-60,2,Aomori,1
Annuity(Annuity Certain ),51-60,2,Chiba,3
Annuity(Annuity Certain ),51-60,2,Fukuoka,2
Annuity(Annuity Certain ),51-60,2,Gifu,1
Annuity(Annuity Certain ),51-60,2,Gunma,1
Annuity(Annuity Certain ),51-60,2,Hokkaido,2
Annuity(Annuity Certain ),51-60,2,Hyōgo,3
Annuity(Annuity Certain ),51-60,2,Ishikawa,2
Annuity(Annuity Certain ),51-60,2,Kanagawa,4
Annuity(Annuity Certain ),51-60,2,Kochi,1
Annuity(Annuity Certain ),51-60,2,Kumamoto,1
Annuity(Annuity Certain ),51-60,2,Kyoto,1
Annuity(Annuity Certain ),51-60,2,Mie,3
Annuity(Annuity Certain ),51-60,2,Miyazaki,1
Annuity(Annuity Certain ),51-60,2,Okayama,2
Annuity(Annuity Certain ),51-60,2,Osaka,4
Annuity(Annuity Certain ),51-60,2,Saitama,3
Annuity(Annuity Certain ),51-60,2,Shiga,2
Annuity(Annuity Certain ),51-60,2,Shizuoka,3
Annuity(Annuity Certain ),51-60,2,Tochigi,2
Annuity(Annuity Certain ),51-60,2,Tokyo,9
Annuity(Annuity Certain ),51-60,2,Toyama,3
Annuity(Annuity Certain ),51-60,2,Yamagata,2
Annuity(Annuity Certain ),51-60,2,Yamaguchi,2
Annuity(Annuity Certain ),61-64,1,Ehime,1
Annuity(Annuity Certain ),61-64,1,Fukuoka,1
Annuity(Annuity Certain ),61-64,1,Fukushima,1
Annuity(Annuity Certain ),61-64,1,Miyagi,1
Annuity(Annuity Certain ),61-64,1,Saga,1
Annuity(Annuity Certain ),61-64,1,Shizuoka,1
Annuity(Annuity Certain ),61-64,1,Tokyo,2
Annuity(Annuity Certain ),61-64,1,Yamaguchi,1
Annuity(Annuity Certain ),61-64,2,Aichi,1
Annuity(Annuity Certain ),61-64,2,Kanagawa,1
Annuity(Annuity Certain ),61-64,2,Kyoto,1
Annuity(Annuity Certain ),61-64,2,Osaka,1
Annuity(Annuity Certain ),61-64,2,Saitama,1
Annuity(Annuity Certain ),61-64,2,Shizuoka,1
Annuity(Annuity Certain ),61-64,2,Tokyo,3
Annuity(Annuity Certain ),61-64,2,Yamaguchi,1
Annuity(Annuity Certain ),greater than 64,1,Ishikawa,1
Annuity(Annuity Certain ),greater than 64,1,Nara,1
Annuity(Annuity Certain ),greater than 64,1,Tokyo,1
Annuity(Annuity Certain ),greater than 64,2,Kanagawa,2
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,Ehime,1
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,Tokyo,1
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,Saitama,1
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,Aichi,1
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,Ehime,1
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,Shizuoka,1
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,Fukuoka,1
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,Miyazaki,1
Cancer,18-22,1,Aichi,7
Cancer,18-22,1,Akita,5
Cancer,18-22,1,Aomori,3
Cancer,18-22,1,Chiba,2
Cancer,18-22,1,Ehime,3
Cancer,18-22,1,Fukui,1
Cancer,18-22,1,Fukuoka,1
Cancer,18-22,1,Gifu,1
Cancer,18-22,1,Gunma,1
Cancer,18-22,1,Hiroshima,7
Cancer,18-22,1,Hokkaido,4
Cancer,18-22,1,Hyōgo,4
Cancer,18-22,1,Ibaraki,5
Cancer,18-22,1,Kagawa,2
Cancer,18-22,1,Kanagawa,4
Cancer,18-22,1,Kochi,2
Cancer,18-22,1,Kyoto,1
Cancer,18-22,1,Mie,1
Cancer,18-22,1,Miyagi,3
Cancer,18-22,1,Miyazaki,2
Cancer,18-22,1,Nagano,1
Cancer,18-22,1,Naoasaki,1
Cancer,18-22,1,Oita,2
Cancer,18-22,1,Okayama,4
Cancer,18-22,1,Okinawa,1
Cancer,18-22,1,Osaka,3
Cancer,18-22,1,Saitama,8
Cancer,18-22,1,Shimane,1
Cancer,18-22,1,Shizuoka,6
Cancer,18-22,1,Tochigi,2
Cancer,18-22,1,Tokushima,1
Cancer,18-22,1,Tokyo,7
Cancer,18-22,1,Wakayama,1
Cancer,18-22,1,Yamagata,2
Cancer,18-22,1,Yamaguchi,3
Cancer,18-22,2,Aichi,1
Cancer,18-22,2,Akita,1
Cancer,18-22,2,Fukui,1
Cancer,18-22,2,Fukuoka,1
Cancer,18-22,2,Hokkaido,1
Cancer,18-22,2,Hyōgo,2
Cancer,18-22,2,Ibaraki,3
Cancer,18-22,2,Kagoshima,1
Cancer,18-22,2,Kanagawa,1
Cancer,18-22,2,Kyoto,1
Cancer,18-22,2,Mie,1
Cancer,18-22,2,Miyagi,1
Cancer,18-22,2,Nagano,1
Cancer,18-22,2,Osaka,4
Cancer,18-22,2,Saitama,1
Cancer,18-22,2,Shiga,1
Cancer,18-22,2,Shizuoka,1
Cancer,18-22,2,Tochigi,1
Cancer,18-22,2,Tokyo,1
Cancer,18-22,2,Wakayama,1
Cancer,18-22,2,Yamaguchi,1
Cancer,23-30,1,Aichi,20
Cancer,23-30,1,Akita,6
Cancer,23-30,1,Aomori,14
Cancer,23-30,1,Chiba,18
Cancer,23-30,1,Ehime,6
Cancer,23-30,1,Fukuoka,23
Cancer,23-30,1,Fukushima,5
Cancer,23-30,1,Gifu,14
Cancer,23-30,1,Gunma,8
Cancer,23-30,1,Hiroshima,30
Cancer,23-30,1,Hokkaido,21
Cancer,23-30,1,Hyōgo,9
Cancer,23-30,1,Ibaraki,18
Cancer,23-30,1,Ishikawa,6
Cancer,23-30,1,Kagawa,8
Cancer,23-30,1,Kagoshima,5
Cancer,23-30,1,Kanagawa,20
Cancer,23-30,1,Kochi,4
Cancer,23-30,1,Kumamoto,6
Cancer,23-30,1,Kyoto,8
Cancer,23-30,1,Miyagi,13
Cancer,23-30,1,Miyazaki,8
Cancer,23-30,1,Nagano,10
Cancer,23-30,1,Naoasaki,4
Cancer,23-30,1,Nara,4
Cancer,23-30,1,Niigata,4
Cancer,23-30,1,Oita,5
Cancer,23-30,1,Okayama,5
Cancer,23-30,1,Okinawa,1
Cancer,23-30,1,Osaka,29
Cancer,23-30,1,Saga,2
Cancer,23-30,1,Saitama,26
Cancer,23-30,1,Shiga,1
Cancer,23-30,1,Shimane,2
Cancer,23-30,1,Shizuoka,17
Cancer,23-30,1,Tochigi,5
Cancer,23-30,1,Tokushima,6
Cancer,23-30,1,Tokyo,44
Cancer,23-30,1,Tottori,3
Cancer,23-30,1,Toyama,5
Cancer,23-30,1,Wakayama,8
Cancer,23-30,1,Yamagata,2
Cancer,23-30,1,Yamaguchi,9
Cancer,23-30,1,Yamanashi,3
Cancer,23-30,2,Aichi,7
Cancer,23-30,2,Akita,3
Cancer,23-30,2,Aomori,3
Cancer,23-30,2,Chiba,5
Cancer,23-30,2,Ehime,1
Cancer,23-30,2,Fukui,1
Cancer,23-30,2,Fukuoka,4
Cancer,23-30,2,Fukushima,1
Cancer,23-30,2,Gifu,2
Cancer,23-30,2,Gunma,1
Cancer,23-30,2,Hiroshima,1
Cancer,23-30,2,Hokkaido,7
Cancer,23-30,2,Hyōgo,5
Cancer,23-30,2,Ibaraki,5
Cancer,23-30,2,Ishikawa,4
Cancer,23-30,2,Kagawa,2
Cancer,23-30,2,Kagoshima,2
Cancer,23-30,2,Kanagawa,10
Cancer,23-30,2,Kumamoto,4
Cancer,23-30,2,Kyoto,4
Cancer,23-30,2,Miyagi,9
Cancer,23-30,2,Nagano,1
Cancer,23-30,2,Naoasaki,3
Cancer,23-30,2,Nara,1
Cancer,23-30,2,Niigata,3
Cancer,23-30,2,Oita,2
Cancer,23-30,2,Okayama,8
Cancer,23-30,2,Okinawa,3
Cancer,23-30,2,Osaka,8
Cancer,23-30,2,Saitama,6
Cancer,23-30,2,Shizuoka,3
Cancer,23-30,2,Tochigi,3
Cancer,23-30,2,Tokyo,14
Cancer,23-30,2,Wakayama,1
Cancer,23-30,2,Yamagata,1
Cancer,23-30,2,Yamaguchi,3
Cancer,23-30,2,Yamanashi,2
Cancer,31-40,1,Aichi,72
Cancer,31-40,1,Akita,15
Cancer,31-40,1,Aomori,26
Cancer,31-40,1,Chiba,58
Cancer,31-40,1,Ehime,13
Cancer,31-40,1,Fukui,6
Cancer,31-40,1,Fukuoka,61
Cancer,31-40,1,Fukushima,21
Cancer,31-40,1,Gifu,34
Cancer,31-40,1,Gunma,18
Cancer,31-40,1,Hiroshima,39
Cancer,31-40,1,Hokkaido,46
Cancer,31-40,1,Hyōgo,49
Cancer,31-40,1,Ibaraki,26
Cancer,31-40,1,Ishikawa,17
Cancer,31-40,1,Kagawa,18
Cancer,31-40,1,Kagoshima,16
Cancer,31-40,1,Kanagawa,97
Cancer,31-40,1,Kochi,6
Cancer,31-40,1,Kumamoto,17
Cancer,31-40,1,Kyoto,14
Cancer,31-40,1,Mie,17
Cancer,31-40,1,Miyagi,20
Cancer,31-40,1,Miyazaki,22
Cancer,31-40,1,Nagano,30
Cancer,31-40,1,Naoasaki,8
Cancer,31-40,1,Nara,10
Cancer,31-40,1,Niigata,19
Cancer,31-40,1,Oita,10
Cancer,31-40,1,Okayama,24
Cancer,31-40,1,Okinawa,5
Cancer,31-40,1,Osaka,64
Cancer,31-40,1,Saga,4
Cancer,31-40,1,Saitama,70
Cancer,31-40,1,Shiga,6
Cancer,31-40,1,Shimane,4
Cancer,31-40,1,Shizuoka,44
Cancer,31-40,1,Tochigi,18
Cancer,31-40,1,Tokushima,9
Cancer,31-40,1,Tokyo,155
Cancer,31-40,1,Tottori,3
Cancer,31-40,1,Toyama,16
Cancer,31-40,1,Wakayama,8
Cancer,31-40,1,Yamagata,16
Cancer,31-40,1,Yamaguchi,14
Cancer,31-40,1,Yamanashi,6
Cancer,31-40,2,Aichi,19
Cancer,31-40,2,Akita,3
Cancer,31-40,2,Aomori,7
Cancer,31-40,2,Chiba,12
Cancer,31-40,2,Ehime,8
Cancer,31-40,2,Fukui,1
Cancer,31-40,2,Fukuoka,17
Cancer,31-40,2,Fukushima,6
Cancer,31-40,2,Gifu,11
Cancer,31-40,2,Gunma,2
Cancer,31-40,2,Hiroshima,10
Cancer,31-40,2,Hokkaido,16
Cancer,31-40,2,Hyōgo,13
Cancer,31-40,2,Ibaraki,7
Cancer,31-40,2,Ishikawa,4
Cancer,31-40,2,Kagawa,4
Cancer,31-40,2,Kagoshima,10
Cancer,31-40,2,Kanagawa,27
Cancer,31-40,2,Kochi,1
Cancer,31-40,2,Kumamoto,9
Cancer,31-40,2,Kyoto,6
Cancer,31-40,2,Mie,4
Cancer,31-40,2,Miyagi,11
Cancer,31-40,2,Miyazaki,3
Cancer,31-40,2,Nagano,9
Cancer,31-40,2,Naoasaki,2
Cancer,31-40,2,Nara,3
Cancer,31-40,2,Niigata,5
Cancer,31-40,2,Oita,2
Cancer,31-40,2,Okayama,9
Cancer,31-40,2,Okinawa,1
Cancer,31-40,2,Osaka,23
Cancer,31-40,2,Saga,1
Cancer,31-40,2,Saitama,17
Cancer,31-40,2,Shiga,7
Cancer,31-40,2,Shimane,1
Cancer,31-40,2,Shizuoka,16
Cancer,31-40,2,Tochigi,7
Cancer,31-40,2,Tokyo,51
Cancer,31-40,2,Tottori,2
Cancer,31-40,2,Toyama,1
Cancer,31-40,2,Wakayama,3
Cancer,31-40,2,Yamagata,2
Cancer,31-40,2,Yamaguchi,8
Cancer,31-40,2,Yamanashi,5
Cancer,41-50,1,Aichi,138
Cancer,41-50,1,Akita,33
Cancer,41-50,1,Aomori,47
Cancer,41-50,1,Chiba,119
Cancer,41-50,1,Ehime,38
Cancer,41-50,1,Fukui,10
Cancer,41-50,1,Fukuoka,112
Cancer,41-50,1,Fukushima,28
Cancer,41-50,1,Gifu,123
Cancer,41-50,1,Gunma,31
Cancer,41-50,1,Hiroshima,65
Cancer,41-50,1,Hokkaido,89
Cancer,41-50,1,Hyōgo,87
Cancer,41-50,1,Ibaraki,50
Cancer,41-50,1,Ishikawa,21
Cancer,41-50,1,Kagawa,35
Cancer,41-50,1,Kagoshima,51
Cancer,41-50,1,Kanagawa,186
Cancer,41-50,1,Kochi,15
Cancer,41-50,1,Kumamoto,47
Cancer,41-50,1,Kyoto,26
Cancer,41-50,1,Mie,28
Cancer,41-50,1,Miyagi,40
Cancer,41-50,1,Miyazaki,41
Cancer,41-50,1,Nagano,97
Cancer,41-50,1,Naoasaki,25
Cancer,41-50,1,Nara,21
Cancer,41-50,1,Niigata,72
Cancer,41-50,1,Oita,19
Cancer,41-50,1,Okayama,56
Cancer,41-50,1,Okinawa,8
Cancer,41-50,1,Osaka,181
Cancer,41-50,1,Saga,17
Cancer,41-50,1,Saitama,148
Cancer,41-50,1,Shiga,15
Cancer,41-50,1,Shimane,2
Cancer,41-50,1,Shizuoka,90
Cancer,41-50,1,Tochigi,38
Cancer,41-50,1,Tokushima,17
Cancer,41-50,1,Tokyo,290
Cancer,41-50,1,Tottori,13
Cancer,41-50,1,Toyama,39
Cancer,41-50,1,Wakayama,11
Cancer,41-50,1,Yamagata,15
Cancer,41-50,1,Yamaguchi,41
Cancer,41-50,1,Yamanashi,9
Cancer,41-50,2,Aichi,49
Cancer,41-50,2,Akita,10
Cancer,41-50,2,Aomori,12
Cancer,41-50,2,Chiba,36
Cancer,41-50,2,Ehime,14
Cancer,41-50,2,Fukui,7
Cancer,41-50,2,Fukuoka,42
Cancer,41-50,2,Fukushima,9
Cancer,41-50,2,Gifu,30
Cancer,41-50,2,Gunma,8
Cancer,41-50,2,Hiroshima,23
Cancer,41-50,2,Hokkaido,47
Cancer,41-50,2,Hyōgo,25
Cancer,41-50,2,Ibaraki,11
Cancer,41-50,2,Ishikawa,12
Cancer,41-50,2,Kagawa,13
Cancer,41-50,2,Kagoshima,19
Cancer,41-50,2,Kanagawa,58
Cancer,41-50,2,Kochi,5
Cancer,41-50,2,Kumamoto,9
Cancer,41-50,2,Kyoto,6
Cancer,41-50,2,Mie,11
Cancer,41-50,2,Miyagi,18
Cancer,41-50,2,Miyazaki,12
Cancer,41-50,2,Nagano,26
Cancer,41-50,2,Naoasaki,4
Cancer,41-50,2,Nara,8
Cancer,41-50,2,Niigata,23
Cancer,41-50,2,Oita,4
Cancer,41-50,2,Okayama,20
Cancer,41-50,2,Okinawa,1
Cancer,41-50,2,Osaka,40
Cancer,41-50,2,Saga,7
Cancer,41-50,2,Saitama,31
Cancer,41-50,2,Shiga,4
Cancer,41-50,2,Shimane,1
Cancer,41-50,2,Shizuoka,22
Cancer,41-50,2,Tochigi,10
Cancer,41-50,2,Tokushima,6
Cancer,41-50,2,Tokyo,95
Cancer,41-50,2,Tottori,1
Cancer,41-50,2,Toyama,9
Cancer,41-50,2,Wakayama,4
Cancer,41-50,2,Yamagata,3
Cancer,41-50,2,Yamaguchi,5
Cancer,41-50,2,Yamanashi,5
Cancer,51-60,1,Aichi,219
Cancer,51-60,1,Akita,32
Cancer,51-60,1,Aomori,44
Cancer,51-60,1,Chiba,129
Cancer,51-60,1,Ehime,33
Cancer,51-60,1,Fukui,12
Cancer,51-60,1,Fukuoka,145
Cancer,51-60,1,Fukushima,29
Cancer,51-60,1,Gifu,179
Cancer,51-60,1,Gunma,27
Cancer,51-60,1,Hiroshima,80
Cancer,51-60,1,Hokkaido,110
Cancer,51-60,1,Hyōgo,91
Cancer,51-60,1,Ibaraki,49
Cancer,51-60,1,Ishikawa,27
Cancer,51-60,1,Kagawa,41
Cancer,51-60,1,Kagoshima,47
Cancer,51-60,1,Kanagawa,220
Cancer,51-60,1,Kochi,13
Cancer,51-60,1,Kumamoto,33
Cancer,51-60,1,Kyoto,52
Cancer,51-60,1,Mie,28
Cancer,51-60,1,Miyagi,54
Cancer,51-60,1,Miyazaki,49
Cancer,51-60,1,Nagano,112
Cancer,51-60,1,Naoasaki,18
Cancer,51-60,1,Nara,24
Cancer,51-60,1,Niigata,97
Cancer,51-60,1,Oita,31
Cancer,51-60,1,Okayama,68
Cancer,51-60,1,Okinawa,7
Cancer,51-60,1,Osaka,256
Cancer,51-60,1,Saga,11
Cancer,51-60,1,Saitama,173
Cancer,51-60,1,Shiga,17
Cancer,51-60,1,Shimane,5
Cancer,51-60,1,Shizuoka,79
Cancer,51-60,1,Tochigi,44
Cancer,51-60,1,Tokushima,12
Cancer,51-60,1,Tokyo,316
Cancer,51-60,1,Tottori,8
Cancer,51-60,1,Toyama,27
Cancer,51-60,1,Wakayama,18
Cancer,51-60,1,Yamagata,10
Cancer,51-60,1,Yamaguchi,33
Cancer,51-60,1,Yamanashi,19
Cancer,51-60,2,Aichi,61
Cancer,51-60,2,Akita,7
Cancer,51-60,2,Aomori,9
Cancer,51-60,2,Chiba,46
Cancer,51-60,2,Ehime,12
Cancer,51-60,2,Fukui,4
Cancer,51-60,2,Fukuoka,45
Cancer,51-60,2,Fukushima,11
Cancer,51-60,2,Gifu,91
Cancer,51-60,2,Gunma,8
Cancer,51-60,2,Hiroshima,22
Cancer,51-60,2,Hokkaido,25
Cancer,51-60,2,Hyōgo,21
Cancer,51-60,2,Ibaraki,22
Cancer,51-60,2,Ishikawa,7
Cancer,51-60,2,Kagawa,9
Cancer,51-60,2,Kagoshima,20
Cancer,51-60,2,Kanagawa,62
Cancer,51-60,2,Kochi,5
Cancer,51-60,2,Kumamoto,14
Cancer,51-60,2,Kyoto,11
Cancer,51-60,2,Mie,14
Cancer,51-60,2,Miyagi,13
Cancer,51-60,2,Miyazaki,10
Cancer,51-60,2,Nagano,36
Cancer,51-60,2,Naoasaki,12
Cancer,51-60,2,Nara,5
Cancer,51-60,2,Niigata,46
Cancer,51-60,2,Oita,7
Cancer,51-60,2,Okayama,17
Cancer,51-60,2,Okinawa,2
Cancer,51-60,2,Osaka,56
Cancer,51-60,2,Saga,6
Cancer,51-60,2,Saitama,56
Cancer,51-60,2,Shiga,7
Cancer,51-60,2,Shimane,1
Cancer,51-60,2,Shizuoka,24
Cancer,51-60,2,Tochigi,17
Cancer,51-60,2,Tokushima,3
Cancer,51-60,2,Tokyo,102
Cancer,51-60,2,Tottori,4
Cancer,51-60,2,Toyama,8
Cancer,51-60,2,Wakayama,10
Cancer,51-60,2,Yamagata,2
Cancer,51-60,2,Yamaguchi,8
Cancer,51-60,2,Yamanashi,2
Cancer,61-64,1,Aichi,40
Cancer,61-64,1,Akita,6
Cancer,61-64,1,Aomori,15
Cancer,61-64,1,Chiba,33
Cancer,61-64,1,Ehime,7
Cancer,61-64,1,Fukui,8
Cancer,61-64,1,Fukuoka,25
Cancer,61-64,1,Fukushima,10
Cancer,61-64,1,Gifu,22
Cancer,61-64,1,Gunma,4
Cancer,61-64,1,Hiroshima,18
Cancer,61-64,1,Hokkaido,29
Cancer,61-64,1,Hyōgo,28
Cancer,61-64,1,Ibaraki,13
Cancer,61-64,1,Ishikawa,6
Cancer,61-64,1,Kagawa,10
Cancer,61-64,1,Kagoshima,17
Cancer,61-64,1,Kanagawa,54
Cancer,61-64,1,Kochi,5
Cancer,61-64,1,Kumamoto,9
Cancer,61-64,1,Kyoto,15
Cancer,61-64,1,Mie,14
Cancer,61-64,1,Miyagi,13
Cancer,61-64,1,Miyazaki,13
Cancer,61-64,1,Nagano,35
Cancer,61-64,1,Naoasaki,11
Cancer,61-64,1,Nara,6
Cancer,61-64,1,Niigata,20
Cancer,61-64,1,Oita,3
