Policy Type Name,a_group,Policyholder'S_Gender,count
Injury,51-60,1,379
Injury,51-60,2,8
Injury,61-64,1,82
Injury,61-64,2,3
Injury,greater than 64,1,67
Injury,greater than 64,2,11
J.M.I.P,18-22,1,5
J.M.I.P,18-22,2,3
J.M.I.P,23-30,1,40
J.M.I.P,23-30,2,18
J.M.I.P,31-40,1,94
J.M.I.P,31-40,2,46
J.M.I.P,41-50,1,133
J.M.I.P,41-50,2,88
J.M.I.P,51-60,1,65
J.M.I.P,51-60,2,66
J.M.I.P,61-64,1,12
J.M.I.P,61-64,2,13
J.M.I.P,greater than 64,1,12
J.M.I.P,greater than 64,2,8
Joint life,18-22,1,16
Joint life,18-22,2,5
Joint life,23-30,1,309
Joint life,23-30,2,26
Joint life,31-40,1,418
Joint life,31-40,2,46
Joint life,41-50,1,248
Joint life,41-50,2,50
Joint life,51-60,1,131
Joint life,51-60,2,11
Joint life,61-64,1,12
Joint life,61-64,2,5
Joint life,greater than 64,1,7
Joint life,greater than 64,2,4
Joint life(Flexible),18-22,1,60
Joint life(Flexible),18-22,2,25
Joint life(Flexible),23-30,1,561
Joint life(Flexible),23-30,2,91
Joint life(Flexible),31-40,1,727
Joint life(Flexible),31-40,2,230
Joint life(Flexible),41-50,1,553
Joint life(Flexible),41-50,2,284
Joint life(Flexible),51-60,1,416
Joint life(Flexible),51-60,2,276
Joint life(Flexible),61-64,1,88
Joint life(Flexible),61-64,2,68
Joint life(Flexible),greater than 64,1,174
Joint life(Flexible),greater than 64,2,225
Juvenile,18-22,1,609
Juvenile,18-22,2,526
Juvenile,23-30,1,7647
Juvenile,23-30,2,4100
Juvenile,31-40,1,10444
Juvenile,31-40,2,4527
Juvenile,41-50,1,2198
Juvenile,41-50,2,823
Juvenile,51-60,1,399
Juvenile,51-60,2,702
Juvenile,61-64,1,94
Juvenile,61-64,2,215
Juvenile,greater than 64,1,30
Juvenile,greater than 64,2,65
Maternity Insurance(or New Pregnant Woman Insurance),18-22,1,4
Maternity Insurance(or New Pregnant Woman Insurance),18-22,2,38
Maternity Insurance(or New Pregnant Woman Insurance),23-30,1,60
Maternity Insurance(or New Pregnant Woman Insurance),23-30,2,436
Maternity Insurance(or New Pregnant Woman Insurance),31-40,1,60
Maternity Insurance(or New Pregnant Woman Insurance),31-40,2,211
Maternity Insurance(or New Pregnant Woman Insurance),41-50,1,6
Maternity Insurance(or New Pregnant Woman Insurance),41-50,2,8
Maternity Insurance(or New Pregnant Woman Insurance),51-60,1,3
Maternity Insurance(or New Pregnant Woman Insurance),51-60,2,9
Maternity Insurance(or New Pregnant Woman Insurance),61-64,1,2
Maternity Insurance(or New Pregnant Woman Insurance),61-64,2,4
Maternity Insurance(or New Pregnant Woman Insurance),greater than 64,1,1
Maternity Insurance(or New Pregnant Woman Insurance),greater than 64,2,1
Medical,18-22,1,33479
Medical,18-22,2,36988
Medical,23-30,1,141785
Medical,23-30,2,143918
Medical,31-40,1,176743
Medical,31-40,2,152911
Medical,41-50,1,132508
Medical,41-50,2,107570
Medical,51-60,1,86692
Medical,51-60,2,76399
Medical,61-64,1,19064
Medical,61-64,2,21009
Medical,greater than 64,1,16122
Medical,greater than 64,2,22655
Medical（Coins） ,31-40,1,1
Medical（Coins） ,31-40,2,1
Medical（Coins） ,41-50,1,3
Medical（Coins） ,41-50,2,2
Medical（Coins） ,51-60,1,5
Medical（Coins） ,51-60,2,8
Medical（Coins） ,61-64,1,4
Medical（Coins） ,61-64,2,3
Medical（Coins） ,greater than 64,1,9
Medical（Coins） ,greater than 64,2,2
M.I.P,18-22,1,955
M.I.P,18-22,2,172
M.I.P,23-30,1,20806
M.I.P,23-30,2,2930
M.I.P,31-40,1,36599
M.I.P,31-40,2,5498
M.I.P,41-50,1,16854
M.I.P,41-50,2,2756
M.I.P,51-60,1,5005
M.I.P,51-60,2,978
M.I.P,61-64,1,424
M.I.P,61-64,2,138
M.I.P,greater than 64,1,218
M.I.P,greater than 64,2,96
Nursing care,18-22,1,16
Nursing care,18-22,2,18
Nursing care,23-30,1,128
Nursing care,23-30,2,39
Nursing care,31-40,1,169
Nursing care,31-40,2,67
Nursing care,41-50,1,109
Nursing care,41-50,2,73
Nursing care,51-60,1,87
Nursing care,51-60,2,92
Nursing care,61-64,1,26
Nursing care,61-64,2,20
Nursing care,greater than 64,1,9
Nursing care,greater than 64,2,6
Term life,18-22,1,3057
Term life,18-22,2,1635
Term life,23-30,1,19193
Term life,23-30,2,5199
Term life,31-40,1,36656
Term life,31-40,2,8763
Term life,41-50,0,1
Term life,41-50,1,31094
Term life,41-50,2,9173
Term life,51-60,1,24099
Term life,51-60,2,9409
Term life,61-64,1,4647
Term life,61-64,2,2511
Term life,greater than 64,0,1
Term life,greater than 64,1,4537
Term life,greater than 64,2,2818
VL Endowment,18-22,1,13
VL Endowment,18-22,2,14
VL Endowment,23-30,1,74
VL Endowment,23-30,2,53
VL Endowment,31-40,1,225
VL Endowment,31-40,2,57
VL Endowment,41-50,1,113
VL Endowment,41-50,2,68
VL Endowment,51-60,1,126
VL Endowment,51-60,2,33
VL Endowment,61-64,1,29
VL Endowment,61-64,2,8
VL Endowment,greater than 64,1,62
VL Endowment,greater than 64,2,12
VL Whole life,18-22,1,344
VL Whole life,18-22,2,161
VL Whole life,23-30,1,2542
VL Whole life,23-30,2,962
VL Whole life,31-40,1,3323
VL Whole life,31-40,2,1058
VL Whole life,41-50,1,1668
VL Whole life,41-50,2,761
VL Whole life,51-60,1,835
VL Whole life,51-60,2,553
VL Whole life,61-64,1,133
VL Whole life,61-64,2,129
VL Whole life,greater than 64,1,204
VL Whole life,greater than 64,2,219
Whole life,18-22,1,11225
Whole life,18-22,2,6511
Whole life,23-30,1,44813
Whole life,23-30,2,19661
Whole life,31-40,1,48720
Whole life,31-40,2,21599
Whole life,41-50,1,31515
Whole life,41-50,2,18872
Whole life,51-60,1,17392
Whole life,51-60,2,13469
Whole life,61-64,1,3564
Whole life,61-64,2,3454
Whole life,greater than 64,1,4727
Whole life,greater than 64,2,5593
