Policy Type Name,a_group,Policyholder'S_Gender,LatestS_01 Count,LatestS_01 SUM,LatestS_01 average
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,1,4,1839734,459933.500000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,2,2,1420000,710000.000000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,3,3044100,1014700.000000000000
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,2,3,5100000,1700000.000000000000
Cancer,18-22,1,9492,8207030000,864626.000842815002
Cancer,18-22,2,5863,4700488000,801720.620842572062
Cancer,23-30,1,50157,43382701000,864938.114321031960
Cancer,23-30,2,22168,16788470000,757329.032840129917
Cancer,31-40,1,50751,40186855000,791843.608992926248
Cancer,31-40,2,20864,13184692000,631935.007668711656
Cancer,41-50,0,4,603000,150750.000000000000
Cancer,41-50,1,46480,35870536000,771741.308089500861
Cancer,41-50,2,19946,12477318000,625554.898225208062
Cancer,41-50,3,1,1000000,1000000.000000000000
Cancer,51-60,0,1,200000,200000.000000000000
Cancer,51-60,1,28900,21292539000,736766.055363321799
Cancer,51-60,2,13831,7917015000,572410.888583616514
Cancer,61-64,1,3260,2045616500,627489.723926380368
Cancer,61-64,2,2319,1051352000,453364.381198792583
Cancer,greater than 64,1,2796,1950305000,697533.977110157368
Cancer,greater than 64,2,2461,1111225000,451533.929297033726
Dread Disease T.L.,18-22,1,56,209100000,3733928.571428571429
Dread Disease T.L.,18-22,2,48,164100000,3418750.000000000000
Dread Disease T.L.,23-30,1,601,2174100000,3617470.881863560732
Dread Disease T.L.,23-30,2,290,1028900000,3547931.034482758621
Dread Disease T.L.,31-40,1,1195,4507700000,3772133.891213389121
Dread Disease T.L.,31-40,2,515,1772700000,3442135.922330097087
Dread Disease T.L.,41-50,1,896,3089500000,3448102.678571428571
Dread Disease T.L.,41-50,2,466,1539600000,3303862.660944206009
Dread Disease T.L.,41-50,3,1,1000000,1000000.000000000000
Dread Disease T.L.,51-60,1,395,1024100000,2592658.227848101266
Dread Disease T.L.,51-60,2,286,692300000,2420629.370629370629
Dread Disease T.L.,61-64,1,43,79000000,1837209.302325581395
Dread Disease T.L.,61-64,2,39,81000000,2076923.076923076923
Dread Disease T.L.,greater than 64,1,21,46200000,2200000.000000000000
Dread Disease T.L.,greater than 64,2,19,34200000,1800000.000000000000
Dread Disease W.L.,18-22,1,1170,3644800000,3115213.675213675214
Dread Disease W.L.,18-22,2,816,2419200000,2964705.882352941176
Dread Disease W.L.,23-30,1,5028,15396500000,3062151.949085123309
Dread Disease W.L.,23-30,2,2944,8196700000,2784205.163043478261
Dread Disease W.L.,31-40,1,5081,14712800000,2895650.462507380437
Dread Disease W.L.,31-40,2,2666,7045800000,2642835.708927231808
Dread Disease W.L.,41-50,1,2892,7687100000,2658056.708160442600
Dread Disease W.L.,41-50,2,1890,4796000000,2537566.137566137566
Dread Disease W.L.,51-60,1,1710,4008300000,2344035.087719298246
Dread Disease W.L.,51-60,2,1313,2932600000,2233511.043412033511
Dread Disease W.L.,61-64,1,179,355500000,1986033.519553072626
Dread Disease W.L.,61-64,2,175,284000000,1622857.142857142857
Dread Disease W.L.,greater than 64,1,104,259300000,2493269.230769230769
Dread Disease W.L.,greater than 64,2,128,288000000,2250000.000000000000
Endowment,18-22,1,265,617837100,2331460.754716981132
Endowment,18-22,2,290,481623900,1660772.068965517241
Endowment,23-30,1,887,2382946100,2686523.224351747463
Endowment,23-30,2,836,1736082000,2076653.110047846890
Endowment,31-40,1,1640,4998253400,3047715.487804878049
Endowment,31-40,2,1186,2545815500,2146556.070826306914
Endowment,31-40,3,1,5000000,5000000.000000000000
Endowment,41-50,1,2352,10513447000,4470002.976190476190
Endowment,41-50,2,1044,2713956300,2599575.000000000000
Endowment,41-50,3,7,187000000,26714285.714285714286
Endowment,51-60,1,1640,7928727500,4834589.939024390244
Endowment,51-60,2,710,1892828900,2665956.197183098592
Endowment,61-64,1,431,2634633000,6112837.587006960557
Endowment,61-64,2,213,458663200,2153348.356807511737
Endowment,greater than 64,1,405,2777000000,6856790.123456790123
Endowment,greater than 64,2,274,789996500,2883198.905109489051
Female Disease,18-22,1,33,161000,4878.7878787878787879
Female Disease,18-22,2,3710,17713000,4774.3935309973045822
Female Disease,23-30,1,936,4303000,4597.2222222222222222
Female Disease,23-30,2,14549,70033000,4813.5954361124475909
Female Disease,31-40,1,1361,6174000,4536.3703159441587068
Female Disease,31-40,2,8695,42372000,4873.1454859114433583
Female Disease,41-50,1,1413,6303000,4460.7218683651804671
Female Disease,41-50,2,4640,22639000,4879.0948275862068966
Female Disease,51-60,1,743,3344000,4500.6729475100942127
Female Disease,51-60,2,2079,10137000,4875.9018759018759019
Female Disease,61-64,1,55,245000,4454.5454545454545455
Female Disease,61-64,2,317,1515000,4779.1798107255520505
Female Disease,greater than 64,1,54,250000,4629.6296296296296296
Female Disease,greater than 64,2,105,507000,4828.5714285714285714
Inc. Dec. Term Life,18-22,1,1,50000000,50000000.000000000000
Inc. Dec. Term Life,23-30,1,13,228950000,17611538.461538461538
Inc. Dec. Term Life,23-30,2,5,166010000,33202000.000000000000
Inc. Dec. Term Life,31-40,1,43,1160927500,26998313.953488372093
Inc. Dec. Term Life,31-40,2,10,231155000,23115500.000000000000
Inc. Dec. Term Life,41-50,1,87,2354242300,27060256.321839080460
Inc. Dec. Term Life,41-50,2,17,402052000,23650117.647058823529
Inc. Dec. Term Life,41-50,3,4,270000000,67500000.000000000000
Inc. Dec. Term Life,51-60,1,137,2507618000,18303781.021897810219
Inc. Dec. Term Life,51-60,2,24,565370000,23557083.333333333333
Inc. Dec. Term Life,61-64,1,49,994180000,20289387.755102040816
Inc. Dec. Term Life,61-64,2,9,506740000,56304444.444444444444
Inc. Dec. Term Life,greater than 64,1,46,1181645000,25687934.782608695652
Inc. Dec. Term Life,greater than 64,2,2,4500000,2250000.000000000000
Injury,23-30,1,10,239000000,23900000.000000000000
Injury,23-30,2,1,25000000,25000000.000000000000
Injury,31-40,1,171,3025500000,17692982.456140350877
Injury,31-40,2,11,156000000,14181818.181818181818
Injury,41-50,1,219,5108000000,23324200.913242009132
Injury,41-50,2,28,910000000,32500000.000000000000
Injury,51-60,1,375,6734000000,17957333.333333333333
Injury,51-60,2,8,213000000,26625000.000000000000
Injury,61-64,1,81,1497800000,18491358.024691358025
Injury,61-64,2,3,190000000,63333333.333333333333
Injury,greater than 64,1,67,1409800000,21041791.044776119403
Injury,greater than 64,2,10,245000000,24500000.000000000000
J.M.I.P,18-22,1,4,5600000,1400000.000000000000
J.M.I.P,18-22,2,2,2400000,1200000.000000000000
J.M.I.P,23-30,1,30,47200000,1573333.333333333333
J.M.I.P,23-30,2,5,7100000,1420000.000000000000
J.M.I.P,31-40,1,60,95000000,1583333.333333333333
J.M.I.P,31-40,2,25,33300000,1332000.000000000000
J.M.I.P,41-50,1,68,100900000,1483823.529411764706
J.M.I.P,41-50,2,48,68100000,1418750.000000000000
J.M.I.P,51-60,1,26,51400000,1976923.076923076923
J.M.I.P,51-60,2,28,33600000,1200000.000000000000
J.M.I.P,61-64,1,8,9600000,1200000.000000000000
J.M.I.P,61-64,2,6,7200000,1200000.000000000000
J.M.I.P,greater than 64,1,4,5400000,1350000.000000000000
J.M.I.P,greater than 64,2,4,8600000,2150000.000000000000
Joint life,18-22,1,11,86136800,7830618.181818181818
Joint life,18-22,2,4,7185100,1796275.000000000000
Joint life,23-30,1,248,1676515300,6760142.338709677419
Joint life,23-30,2,19,73598300,3873594.736842105263
Joint life,31-40,1,320,2205771900,6893037.187500000000
Joint life,31-40,2,34,179009700,5264991.176470588235
Joint life,41-50,1,160,908694700,5679341.875000000000
Joint life,41-50,2,38,178115700,4687255.263157894737
Joint life,51-60,1,61,253783400,4160383.606557377049
Joint life,51-60,2,4,31738900,7934725.000000000000
Joint life,61-64,1,10,37218100,3721810.000000000000
Joint life,61-64,2,3,13116400,4372133.333333333333
Joint life,greater than 64,1,1,10000000,10000000.000000000000
Joint life,greater than 64,2,2,34957600,17478800.000000000000
Joint life(Flexible),18-22,1,56,590000000,10535714.285714285714
Joint life(Flexible),18-22,2,23,125200000,5443478.260869565217
Joint life(Flexible),23-30,1,530,4386100000,8275660.377358490566
Joint life(Flexible),23-30,2,85,599800000,7056470.588235294118
Joint life(Flexible),31-40,1,694,5602600000,8072910.662824207493
Joint life(Flexible),31-40,2,218,1301500000,5970183.486238532110
Joint life(Flexible),41-50,1,529,4813100000,9098487.712665406427
Joint life(Flexible),41-50,2,265,2033500000,7673584.905660377358
Joint life(Flexible),51-60,1,398,4062700000,10207788.944723618090
Joint life(Flexible),51-60,2,270,2777900000,10288518.518518518519
Joint life(Flexible),61-64,1,82,1029400000,12553658.536585365854
Joint life(Flexible),61-64,2,65,608500000,9361538.461538461538
Joint life(Flexible),greater than 64,1,165,2143000000,12987878.787878787879
Joint life(Flexible),greater than 64,2,216,2550300000,11806944.444444444444
Juvenile,18-22,1,490,475246000,969889.795918367347
Juvenile,18-22,2,406,387000000,953201.970443349754
Juvenile,23-30,1,5916,5675077800,959276.166328600406
Juvenile,23-30,2,3004,2803214300,933160.552596537949
Juvenile,31-40,1,7405,7180362700,969664.105334233626
Juvenile,31-40,2,3104,2856338400,920212.113402061856
Juvenile,41-50,1,1442,1413963200,980557.004160887656
Juvenile,41-50,2,514,505318300,983109.533073929961
Juvenile,51-60,1,268,277902000,1036947.761194029851
Juvenile,51-60,2,479,488048000,1018889.352818371608
Juvenile,61-64,1,65,69200000,1064615.384615384615
Juvenile,61-64,2,129,133100000,1031782.945736434109
Juvenile,greater than 64,1,15,13200000,880000.000000000000
Juvenile,greater than 64,2,32,31400000,981250.000000000000
Maternity Insurance(or New Pregnant Woman Insurance),23-30,1,2,15000,7500.0000000000000000
Maternity Insurance(or New Pregnant Woman Insurance),23-30,2,3,15000,5000.0000000000000000
Maternity Insurance(or New Pregnant Woman Insurance),31-40,2,3,15000,5000.0000000000000000
Medical,18-22,1,24202,157859000,6522.5601189984298818
Medical,18-22,2,27549,166703000,6051.1452321318378163
Medical,23-30,1,110643,745803000,6740.6252541959274423
Medical,23-30,2,115221,721483000,6261.7318023624165734
Medical,31-40,1,133044,913720000,6867.8031327981720333
Medical,31-40,2,116310,746531500,6418.4635886854096810
Medical,41-50,1,95416,625764000,6558.2711494927475476
Medical,41-50,2,78540,491679000,6260.2368220015278839
Medical,41-50,3,1,5000,5000.0000000000000000
Medical,51-60,1,60843,387614000,6370.7246519731111221
Medical,51-60,2,56401,341563000,6055.9741848548784596
Medical,51-60,3,2,10000,5000.0000000000000000
Medical,61-64,1,12439,76821000,6175.8179917999839215
Medical,61-64,2,15067,88182000,5852.6581270325877746
Medical,greater than 64,1,10036,57883000,5767.5368672777999203
Medical,greater than 64,2,15668,86904000,5546.5917794230278274
Medical,greater than 64,3,1,5000,5000.0000000000000000
Medical（Coins） ,31-40,2,1,20000000,20000000.000000000000
Medical（Coins） ,41-50,1,2,40000000,20000000.000000000000
Medical（Coins） ,41-50,2,2,40000000,20000000.000000000000
Medical（Coins） ,51-60,1,2,40000000,20000000.000000000000
Medical（Coins） ,51-60,2,4,80000000,20000000.000000000000
Medical（Coins） ,61-64,1,3,60000000,20000000.000000000000
Medical（Coins） ,61-64,2,1,20000000,20000000.000000000000
Medical（Coins） ,greater than 64,1,1,20000000,20000000.000000000000
M.I.P,18-22,1,651,100910000,155007.680491551459
M.I.P,18-22,2,123,23120000,187967.479674796748
M.I.P,23-30,1,16072,3772648300,234734.214783474365
M.I.P,23-30,2,2337,339630000,145327.342747111682
M.I.P,31-40,1,27350,7217335500,263887.952468007313
M.I.P,31-40,2,4244,702409600,165506.503298774741
M.I.P,41-50,1,12150,3805860000,313239.506172839506
M.I.P,41-50,2,2015,404070000,200531.017369727047
M.I.P,51-60,1,3623,779160000,215059.343085840464
M.I.P,51-60,2,703,112200000,159601.706970128023
M.I.P,61-64,1,293,52580000,179453.924914675768
M.I.P,61-64,2,94,14360000,152765.957446808511
M.I.P,greater than 64,1,160,27490000,171812.500000000000
M.I.P,greater than 64,2,77,11600000,150649.350649350649
Nursing care,18-22,1,10,7500000,750000.000000000000
Nursing care,18-22,2,15,10600000,706666.666666666667
Nursing care,23-30,1,110,89500000,813636.363636363636
Nursing care,23-30,2,27,19500000,722222.222222222222
Nursing care,31-40,1,144,115300000,800694.444444444444
Nursing care,31-40,2,49,44500000,908163.265306122449
Nursing care,41-50,1,90,85000000,944444.444444444444
Nursing care,41-50,2,60,59700000,995000.000000000000
Nursing care,51-60,1,50,49500000,990000.000000000000
Nursing care,51-60,2,68,65400000,961764.705882352941
Nursing care,61-64,1,18,15500000,861111.111111111111
Nursing care,61-64,2,9,7500000,833333.333333333333
Nursing care,greater than 64,1,4,3500000,875000.000000000000
Nursing care,greater than 64,2,2,2500000,1250000.000000000000
Term life,18-22,1,2183,17082608000,7825289.967934035731
Term life,18-22,2,1044,6885390600,6595201.724137931034
Term life,23-30,1,14829,102745824600,6928708.921707465102
Term life,23-30,2,3635,24174348900,6650439.862448418157
Term life,31-40,1,26636,205848170800,7728193.827902087401
Term life,31-40,2,5932,39835968500,6715436.362103843560
Term life,31-40,3,4,21972800,5493200.000000000000
Term life,41-50,0,1,2000000,2000000.000000000000
Term life,41-50,1,21031,178144502700,8470567.386239360943
Term life,41-50,2,5716,40241573100,7040163.243526941917
Term life,41-50,3,1,21363900,21363900.000000000000
Term life,51-60,1,12556,94780293100,7548605.694488690666
Term life,51-60,2,4155,25804945900,6210576.630565583634
Term life,51-60,3,1,1000000,1000000.000000000000
Term life,61-64,1,1754,12665423000,7220879.703534777651
Term life,61-64,2,905,5243616900,5794051.823204419890
Term life,greater than 64,1,1527,10183711000,6669096.922069417158
Term life,greater than 64,2,1038,5423953200,5225388.439306358382
VL Endowment,18-22,1,10,28623400,2862340.000000000000
VL Endowment,18-22,2,10,34000000,3400000.000000000000
VL Endowment,23-30,1,57,245208800,4301908.771929824561
VL Endowment,23-30,2,39,132260600,3391297.435897435897
VL Endowment,31-40,1,198,1172960900,5924044.949494949495
VL Endowment,31-40,2,38,162416700,4274123.684210526316
VL Endowment,31-40,3,7,62000000,8857142.857142857143
VL Endowment,41-50,1,96,466437800,4858727.083333333333
VL Endowment,41-50,2,44,194791300,4427075.000000000000
VL Endowment,51-60,1,92,923052100,10033175.000000000000
VL Endowment,51-60,2,27,116644000,4320148.148148148148
VL Endowment,61-64,1,27,168000000,6222222.222222222222
VL Endowment,61-64,2,7,17500000,2500000.000000000000
VL Endowment,greater than 64,1,61,1172837400,19226842.622950819672
VL Endowment,greater than 64,2,9,818698800,90966533.333333333333
VL Whole life,18-22,1,300,1775122300,5917074.333333333333
VL Whole life,18-22,2,147,809751600,5508514.285714285714
VL Whole life,23-30,1,2273,11326931800,4983252.001759788825
VL Whole life,23-30,2,872,3762118100,4314355.619266055046
VL Whole life,31-40,1,2893,15111298400,5223400.760456273764
VL Whole life,31-40,2,937,4506564300,4809567.022411953042
VL Whole life,41-50,1,1390,8064531900,5801821.510791366906
VL Whole life,41-50,2,652,3218896100,4936957.208588957055
VL Whole life,51-60,1,640,5408402700,8450629.218750000000
VL Whole life,51-60,2,480,3401440600,7086334.583333333333
VL Whole life,61-64,1,93,658002900,7075300.000000000000
VL Whole life,61-64,2,106,813710100,7676510.377358490566
VL Whole life,greater than 64,1,132,5070167900,38410362.878787878788
VL Whole life,greater than 64,2,168,2891439700,17210950.595238095238
Whole life,18-22,1,9723,53602974600,5513007.775377969762
Whole life,18-22,2,5784,27734896600,4795106.604426002766
Whole life,23-30,1,39801,218401947300,5487348.239993970001
Whole life,23-30,2,17541,79751759100,4546591.363092184026
Whole life,31-40,1,42251,222494631600,5266020.487089062981
Whole life,31-40,2,18857,82556433000,4378025.825953226918
Whole life,31-40,3,2,13000000,6500000.000000000000
Whole life,41-50,1,26663,129769727000,4867033.979672204928
Whole life,41-50,2,16245,65369960100,4024004.930747922438
Whole life,41-50,3,2,10000000,5000000.000000000000
Whole life,51-60,1,13600,61161519700,4497170.566176470588
Whole life,51-60,2,11398,41759860700,3663788.445341287945
Whole life,51-60,3,2,6000000,3000000.000000000000
Whole life,61-64,1,2497,9623335100,3853958.790548658390
Whole life,61-64,2,2749,9029589200,3284681.411422335395
Whole life,greater than 64,1,2985,15453580900,5177079.028475711893
Whole life,greater than 64,2,4241,17794774500,4195891.181325159161
