Policy Type Name,a_group,Policyholder'S_Gender,application Channel,detail,application Channel Count
Annuity(Annuity Certain ),31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),136
Annuity(Annuity Certain ),31-40,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),114
Annuity(Annuity Certain ),31-40,2,60,Existing Policyholder,414
Annuity(Annuity Certain ),31-40,2,70,Group,18
Annuity(Annuity Certain ),31-40,2,99,Other,660
Annuity(Annuity Certain ),31-40,2,,,134
Annuity(Annuity Certain ),41-50,1,10,apply by self,8
Annuity(Annuity Certain ),41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),110
Annuity(Annuity Certain ),41-50,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),74
Annuity(Annuity Certain ),41-50,1,60,Existing Policyholder,404
Annuity(Annuity Certain ),41-50,1,70,Group,14
Annuity(Annuity Certain ),41-50,1,99,Other,724
Annuity(Annuity Certain ),41-50,1,,,159
Annuity(Annuity Certain ),41-50,2,10,apply by self,6
Annuity(Annuity Certain ),41-50,2,25,Introduced by Agency,3
Annuity(Annuity Certain ),41-50,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),104
Annuity(Annuity Certain ),41-50,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),73
Annuity(Annuity Certain ),41-50,2,60,Existing Policyholder,372
Annuity(Annuity Certain ),41-50,2,70,Group,6
Annuity(Annuity Certain ),41-50,2,99,Other,625
Annuity(Annuity Certain ),41-50,2,,,140
Annuity(Annuity Certain ),51-60,1,10,apply by self,2
Annuity(Annuity Certain ),51-60,1,20,Introduced by employee,1
Annuity(Annuity Certain ),51-60,1,25,Introduced by Agency,1
Annuity(Annuity Certain ),51-60,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),33
Annuity(Annuity Certain ),51-60,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),42
Annuity(Annuity Certain ),51-60,1,60,Existing Policyholder,185
Annuity(Annuity Certain ),51-60,1,70,Group,12
Annuity(Annuity Certain ),51-60,1,99,Other,353
Annuity(Annuity Certain ),51-60,1,,,57
Annuity(Annuity Certain ),51-60,2,10,apply by self,3
Annuity(Annuity Certain ),51-60,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),42
Annuity(Annuity Certain ),51-60,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),45
Annuity(Annuity Certain ),51-60,2,60,Existing Policyholder,192
Annuity(Annuity Certain ),51-60,2,70,Group,9
Annuity(Annuity Certain ),51-60,2,99,Other,338
Annuity(Annuity Certain ),51-60,2,,,52
Annuity(Annuity Certain ),61-64,1,25,Introduced by Agency,1
Annuity(Annuity Certain ),61-64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),2
Annuity(Annuity Certain ),61-64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),4
Annuity(Annuity Certain ),61-64,1,60,Existing Policyholder,19
Annuity(Annuity Certain ),61-64,1,70,Group,1
Annuity(Annuity Certain ),61-64,1,99,Other,28
Annuity(Annuity Certain ),61-64,1,,,9
Annuity(Annuity Certain ),61-64,2,10,apply by self,1
Annuity(Annuity Certain ),61-64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),2
Annuity(Annuity Certain ),61-64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),4
Annuity(Annuity Certain ),61-64,2,60,Existing Policyholder,32
Annuity(Annuity Certain ),61-64,2,99,Other,13
Annuity(Annuity Certain ),61-64,2,,,4
Annuity(Annuity Certain ),greater than 64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),2
Annuity(Annuity Certain ),greater than 64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),7
Annuity(Annuity Certain ),greater than 64,1,60,Existing Policyholder,15
Annuity(Annuity Certain ),greater than 64,1,99,Other,27
Annuity(Annuity Certain ),greater than 64,1,,,3
Annuity(Annuity Certain ),greater than 64,2,10,apply by self,1
Annuity(Annuity Certain ),greater than 64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1
Annuity(Annuity Certain ),greater than 64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),4
Annuity(Annuity Certain ),greater than 64,2,60,Existing Policyholder,23
Annuity(Annuity Certain ),greater than 64,2,99,Other,21
Annuity(Annuity Certain ),greater than 64,2,,,3
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,60,Existing Policyholder,6
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,1,,,5
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,2,60,Existing Policyholder,6
Annuity(Whole Life Annuity With Guaranteed Installment ),18-22,2,,,2
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,10,apply by self,1
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,25,Introduced by Agency,1
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),5
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),4
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,60,Existing Policyholder,24
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,70,Group,1
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,99,Other,1
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,1,,,23
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,25,Introduced by Agency,1
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),8
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),4
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,60,Existing Policyholder,13
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,99,Other,2
Annuity(Whole Life Annuity With Guaranteed Installment ),23-30,2,,,12
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),6
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,60,Existing Policyholder,26
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,70,Group,1
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,99,Other,2
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,1,,,12
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),4
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),3
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,60,Existing Policyholder,14
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,99,Other,2
Annuity(Whole Life Annuity With Guaranteed Installment ),31-40,2,,,6
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),7
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),2
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,60,Existing Policyholder,15
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,99,Other,2
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,1,,,10
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),5
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,60,Existing Policyholder,11
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,99,Other,1
Annuity(Whole Life Annuity With Guaranteed Installment ),41-50,2,,,12
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),2
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,60,Existing Policyholder,7
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,99,Other,2
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,1,,,3
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,60,Existing Policyholder,10
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,99,Other,1
Annuity(Whole Life Annuity With Guaranteed Installment ),51-60,2,,,7
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,1,60,Existing Policyholder,2
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,1,,,1
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Annuity(Whole Life Annuity With Guaranteed Installment ),61-64,2,99,Other,1
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,60,Existing Policyholder,1
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,1,,,1
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1
Annuity(Whole Life Annuity With Guaranteed Installment ),greater than 64,2,60,Existing Policyholder,2
Cancer,18-22,1,00,Migrating Special,84
Cancer,18-22,1,10,apply by self,103
Cancer,18-22,1,20,Introduced by employee,1
Cancer,18-22,1,25,Introduced by Agency,8
Cancer,18-22,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1701
Cancer,18-22,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),261
Cancer,18-22,1,60,Existing Policyholder,1564
Cancer,18-22,1,70,Group,3314
Cancer,18-22,1,99,Other,532
Cancer,18-22,1,,,1924
Cancer,18-22,2,00,Migrating Special,86
Cancer,18-22,2,10,apply by self,64
Cancer,18-22,2,25,Introduced by Agency,5
Cancer,18-22,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1280
Cancer,18-22,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),269
Cancer,18-22,2,60,Existing Policyholder,1086
Cancer,18-22,2,70,Group,1200
Cancer,18-22,2,99,Other,394
Cancer,18-22,2,,,1479
Cancer,23-30,1,00,Migrating Special,652
Cancer,23-30,1,10,apply by self,1026
Cancer,23-30,1,20,Introduced by employee,4
Cancer,23-30,1,25,Introduced by Agency,52
Cancer,23-30,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),9163
Cancer,23-30,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1313
Cancer,23-30,1,60,Existing Policyholder,8184
Cancer,23-30,1,70,Group,15345
Cancer,23-30,1,99,Other,3694
Cancer,23-30,1,,,10724
Cancer,23-30,2,00,Migrating Special,370
Cancer,23-30,2,10,apply by self,657
Cancer,23-30,2,20,Introduced by employee,3
Cancer,23-30,2,25,Introduced by Agency,24
Cancer,23-30,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),4864
Cancer,23-30,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1121
Cancer,23-30,2,60,Existing Policyholder,4286
Cancer,23-30,2,70,Group,3841
Cancer,23-30,2,99,Other,1899
Cancer,23-30,2,,,5103
Cancer,31-40,1,00,Migrating Special,2038
Cancer,31-40,1,01,,1
Cancer,31-40,1,10,apply by self,1697
Cancer,31-40,1,20,Introduced by employee,7
Cancer,31-40,1,25,Introduced by Agency,55
Cancer,31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),7314
Cancer,31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1672
Cancer,31-40,1,50,Visit (Fist time Visit),1
Cancer,31-40,1,60,Existing Policyholder,8940
Cancer,31-40,1,70,Group,10082
Cancer,31-40,1,99,Other,3865
Cancer,31-40,1,,,15079
Cancer,31-40,2,00,Migrating Special,876
Cancer,31-40,2,10,apply by self,1014
Cancer,31-40,2,20,Introduced by employee,6
Cancer,31-40,2,25,Introduced by Agency,33
Cancer,31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3556
Cancer,31-40,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1271
Cancer,31-40,2,60,Existing Policyholder,4455
Cancer,31-40,2,70,Group,1688
Cancer,31-40,2,99,Other,1784
Cancer,31-40,2,,,6181
Cancer,41-50,0,00,Migrating Special,2
Cancer,41-50,0,,,2
Cancer,41-50,1,00,Migrating Special,1992
Cancer,41-50,1,10,apply by self,2601
Cancer,41-50,1,20,Introduced by employee,4
Cancer,41-50,1,25,Introduced by Agency,45
Cancer,41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),5355
Cancer,41-50,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),1290
Cancer,41-50,1,60,Existing Policyholder,8165
Cancer,41-50,1,70,Group,8139
Cancer,41-50,1,99,Other,2950
Cancer,41-50,1,,,15939
Cancer,41-50,2,00,Migrating Special,905
Cancer,41-50,2,10,apply by self,509
Cancer,41-50,2,20,Introduced by employee,4
Cancer,41-50,2,25,Introduced by Agency,27
Cancer,41-50,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3038
Cancer,41-50,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),836
Cancer,41-50,2,60,Existing Policyholder,4541
Cancer,41-50,2,70,Group,1347
Cancer,41-50,2,99,Other,1299
Cancer,41-50,2,,,7440
Cancer,41-50,3,,,1
Cancer,51-60,0,,,1
Cancer,51-60,1,00,Migrating Special,1098
Cancer,51-60,1,10,apply by self,1817
Cancer,51-60,1,20,Introduced by employee,1
Cancer,51-60,1,25,Introduced by Agency,27
Cancer,51-60,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3683
Cancer,51-60,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),890
Cancer,51-60,1,60,Existing Policyholder,5874
Cancer,51-60,1,70,Group,5495
Cancer,51-60,1,99,Other,1805
Cancer,51-60,1,,,8210
Cancer,51-60,2,00,Migrating Special,622
Cancer,51-60,2,10,apply by self,216
Cancer,51-60,2,20,Introduced by employee,5
Cancer,51-60,2,25,Introduced by Agency,26
Cancer,51-60,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),2307
Cancer,51-60,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),718
Cancer,51-60,2,60,Existing Policyholder,3804
Cancer,51-60,2,70,Group,941
Cancer,51-60,2,99,Other,957
Cancer,51-60,2,,,4235
Cancer,61-64,1,00,Migrating Special,139
Cancer,61-64,1,10,apply by self,119
Cancer,61-64,1,20,Introduced by employee,1
Cancer,61-64,1,25,Introduced by Agency,7
Cancer,61-64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),405
Cancer,61-64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),190
Cancer,61-64,1,60,Existing Policyholder,940
Cancer,61-64,1,70,Group,194
Cancer,61-64,1,99,Other,253
Cancer,61-64,1,,,1012
Cancer,61-64,2,00,Migrating Special,106
Cancer,61-64,2,10,apply by self,18
Cancer,61-64,2,20,Introduced by employee,4
Cancer,61-64,2,25,Introduced by Agency,1
Cancer,61-64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),293
Cancer,61-64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),200
Cancer,61-64,2,60,Existing Policyholder,761
Cancer,61-64,2,70,Group,114
Cancer,61-64,2,99,Other,185
Cancer,61-64,2,,,637
Cancer,greater than 64,1,00,Migrating Special,85
Cancer,greater than 64,1,10,apply by self,73
Cancer,greater than 64,1,20,Introduced by employee,1
Cancer,greater than 64,1,25,Introduced by Agency,16
Cancer,greater than 64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),305
Cancer,greater than 64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),194
Cancer,greater than 64,1,60,Existing Policyholder,888
Cancer,greater than 64,1,70,Group,153
Cancer,greater than 64,1,99,Other,302
Cancer,greater than 64,1,,,779
Cancer,greater than 64,2,00,Migrating Special,78
Cancer,greater than 64,2,10,apply by self,29
Cancer,greater than 64,2,25,Introduced by Agency,6
Cancer,greater than 64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),337
Cancer,greater than 64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),268
Cancer,greater than 64,2,60,Existing Policyholder,847
Cancer,greater than 64,2,70,Group,98
Cancer,greater than 64,2,99,Other,201
Cancer,greater than 64,2,,,597
Dread Disease T.L.,18-22,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),7
Dread Disease T.L.,18-22,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),12
Dread Disease T.L.,18-22,1,60,Existing Policyholder,30
Dread Disease T.L.,18-22,1,70,Group,1
Dread Disease T.L.,18-22,1,99,Other,2
Dread Disease T.L.,18-22,1,,,4
Dread Disease T.L.,18-22,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),5
Dread Disease T.L.,18-22,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),18
Dread Disease T.L.,18-22,2,60,Existing Policyholder,18
Dread Disease T.L.,18-22,2,99,Other,2
Dread Disease T.L.,18-22,2,,,5
Dread Disease T.L.,23-30,1,10,apply by self,5
Dread Disease T.L.,23-30,1,25,Introduced by Agency,4
Dread Disease T.L.,23-30,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),96
Dread Disease T.L.,23-30,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),104
Dread Disease T.L.,23-30,1,60,Existing Policyholder,254
Dread Disease T.L.,23-30,1,70,Group,11
Dread Disease T.L.,23-30,1,99,Other,34
Dread Disease T.L.,23-30,1,,,93
Dread Disease T.L.,23-30,2,10,apply by self,1
Dread Disease T.L.,23-30,2,25,Introduced by Agency,1
Dread Disease T.L.,23-30,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),36
Dread Disease T.L.,23-30,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),52
Dread Disease T.L.,23-30,2,60,Existing Policyholder,133
Dread Disease T.L.,23-30,2,70,Group,2
Dread Disease T.L.,23-30,2,99,Other,27
Dread Disease T.L.,23-30,2,,,38
Dread Disease T.L.,31-40,1,10,apply by self,9
Dread Disease T.L.,31-40,1,20,Introduced by employee,1
Dread Disease T.L.,31-40,1,25,Introduced by Agency,2
Dread Disease T.L.,31-40,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),176
Dread Disease T.L.,31-40,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),164
Dread Disease T.L.,31-40,1,60,Existing Policyholder,535
Dread Disease T.L.,31-40,1,70,Group,26
Dread Disease T.L.,31-40,1,99,Other,98
Dread Disease T.L.,31-40,1,,,184
Dread Disease T.L.,31-40,2,10,apply by self,1
Dread Disease T.L.,31-40,2,25,Introduced by Agency,3
Dread Disease T.L.,31-40,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),62
Dread Disease T.L.,31-40,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),90
Dread Disease T.L.,31-40,2,60,Existing Policyholder,274
Dread Disease T.L.,31-40,2,70,Group,4
Dread Disease T.L.,31-40,2,99,Other,28
Dread Disease T.L.,31-40,2,,,53
Dread Disease T.L.,41-50,1,10,apply by self,5
Dread Disease T.L.,41-50,1,20,Introduced by employee,1
Dread Disease T.L.,41-50,1,25,Introduced by Agency,2
Dread Disease T.L.,41-50,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),104
Dread Disease T.L.,41-50,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),98
Dread Disease T.L.,41-50,1,60,Existing Policyholder,473
Dread Disease T.L.,41-50,1,70,Group,12
Dread Disease T.L.,41-50,1,99,Other,57
Dread Disease T.L.,41-50,1,,,144
Dread Disease T.L.,41-50,2,10,apply by self,2
Dread Disease T.L.,41-50,2,25,Introduced by Agency,5
Dread Disease T.L.,41-50,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),38
Dread Disease T.L.,41-50,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),69
Dread Disease T.L.,41-50,2,60,Existing Policyholder,259
Dread Disease T.L.,41-50,2,70,Group,7
Dread Disease T.L.,41-50,2,99,Other,13
Dread Disease T.L.,41-50,2,,,73
Dread Disease T.L.,41-50,3,,,1
Dread Disease T.L.,51-60,1,10,apply by self,3
Dread Disease T.L.,51-60,1,20,Introduced by employee,1
Dread Disease T.L.,51-60,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),44
Dread Disease T.L.,51-60,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),62
Dread Disease T.L.,51-60,1,60,Existing Policyholder,215
Dread Disease T.L.,51-60,1,70,Group,7
Dread Disease T.L.,51-60,1,99,Other,20
Dread Disease T.L.,51-60,1,,,43
Dread Disease T.L.,51-60,2,25,Introduced by Agency,1
Dread Disease T.L.,51-60,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),32
Dread Disease T.L.,51-60,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),40
Dread Disease T.L.,51-60,2,60,Existing Policyholder,169
Dread Disease T.L.,51-60,2,99,Other,14
Dread Disease T.L.,51-60,2,,,30
Dread Disease T.L.,61-64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
Dread Disease T.L.,61-64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),6
Dread Disease T.L.,61-64,1,60,Existing Policyholder,29
Dread Disease T.L.,61-64,1,70,Group,1
Dread Disease T.L.,61-64,1,99,Other,1
Dread Disease T.L.,61-64,1,,,3
Dread Disease T.L.,61-64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),5
Dread Disease T.L.,61-64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),8
Dread Disease T.L.,61-64,2,60,Existing Policyholder,22
Dread Disease T.L.,61-64,2,99,Other,2
Dread Disease T.L.,61-64,2,,,2
Dread Disease T.L.,greater than 64,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),1
Dread Disease T.L.,greater than 64,1,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),6
Dread Disease T.L.,greater than 64,1,60,Existing Policyholder,11
Dread Disease T.L.,greater than 64,1,99,Other,1
Dread Disease T.L.,greater than 64,1,,,2
Dread Disease T.L.,greater than 64,2,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),3
Dread Disease T.L.,greater than 64,2,40,Friends/acquaintance/Family/Relative(Short name: Friends/acquaintance/Family/Relative),2
Dread Disease T.L.,greater than 64,2,60,Existing Policyholder,11
Dread Disease T.L.,greater than 64,2,99,Other,1
Dread Disease T.L.,greater than 64,2,,,2
Dread Disease W.L.,18-22,1,10,apply by self,3
Dread Disease W.L.,18-22,1,25,Introduced by Agency,7
Dread Disease W.L.,18-22,1,30,Agent him/herself and their living relatives(Short name: Oneself / living relatives),249
