Policy Type Name,a_group,Policyholder'S_Gender,Termination  Reason,merge_reason_code,Type,Details,Termination Reason  Count
Dread Disease T.L.,41-50,1,G21,G21,Surrender ,Surrender,608
Dread Disease T.L.,41-50,1,G22,G22,Surrender ,Surrender after lapse,263
Dread Disease T.L.,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,18
Dread Disease T.L.,41-50,1,G24,G24,Surrender ,Surrender by conversion,6
Dread Disease T.L.,41-50,1,G25,G25,Surrender ,Surrender of consent,1
Dread Disease T.L.,41-50,2,G21,G21,Surrender ,Surrender,335
Dread Disease T.L.,41-50,2,G22,G22,Surrender ,Surrender after lapse,123
Dread Disease T.L.,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,6
Dread Disease T.L.,41-50,2,G24,G24,Surrender ,Surrender by conversion,2
Dread Disease T.L.,41-50,3,G21,G21,Surrender ,Surrender,1
Dread Disease T.L.,51-60,1,G21,G21,Surrender ,Surrender,275
Dread Disease T.L.,51-60,1,G22,G22,Surrender ,Surrender after lapse,105
Dread Disease T.L.,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,10
Dread Disease T.L.,51-60,1,G24,G24,Surrender ,Surrender by conversion,5
Dread Disease T.L.,51-60,2,G21,G21,Surrender ,Surrender,213
Dread Disease T.L.,51-60,2,G22,G22,Surrender ,Surrender after lapse,61
Dread Disease T.L.,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,6
Dread Disease T.L.,51-60,2,G24,G24,Surrender ,Surrender by conversion,6
Dread Disease T.L.,61-64,1,G21,G21,Surrender ,Surrender,30
Dread Disease T.L.,61-64,1,G22,G22,Surrender ,Surrender after lapse,12
Dread Disease T.L.,61-64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Dread Disease T.L.,61-64,2,G21,G21,Surrender ,Surrender,33
Dread Disease T.L.,61-64,2,G22,G22,Surrender ,Surrender after lapse,4
Dread Disease T.L.,61-64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Dread Disease T.L.,greater than 64,1,G21,G21,Surrender ,Surrender,16
Dread Disease T.L.,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,5
Dread Disease T.L.,greater than 64,2,G21,G21,Surrender ,Surrender,12
Dread Disease T.L.,greater than 64,2,G22,G22,Surrender ,Surrender after lapse,6
Dread Disease T.L.,greater than 64,2,G24,G24,Surrender ,Surrender by conversion,1
Dread Disease W.L.,18-22,1,G21,G21,Surrender ,Surrender,927
Dread Disease W.L.,18-22,1,G22,G22,Surrender ,Surrender after lapse,223
Dread Disease W.L.,18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,20
Dread Disease W.L.,18-22,2,G21,G21,Surrender ,Surrender,674
Dread Disease W.L.,18-22,2,G22,G22,Surrender ,Surrender after lapse,120
Dread Disease W.L.,18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,21
Dread Disease W.L.,18-22,2,G24,G24,Surrender ,Surrender by conversion,1
Dread Disease W.L.,23-30,1,G21,G21,Surrender ,Surrender,4278
Dread Disease W.L.,23-30,1,G22,G22,Surrender ,Surrender after lapse,667
Dread Disease W.L.,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,83
Dread Disease W.L.,23-30,2,G21,G21,Surrender ,Surrender,2594
Dread Disease W.L.,23-30,2,G22,G22,Surrender ,Surrender after lapse,305
Dread Disease W.L.,23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,45
Dread Disease W.L.,31-40,1,G21,G21,Surrender ,Surrender,4117
Dread Disease W.L.,31-40,1,G22,G22,Surrender ,Surrender after lapse,879
Dread Disease W.L.,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,82
Dread Disease W.L.,31-40,1,G24,G24,Surrender ,Surrender by conversion,2
Dread Disease W.L.,31-40,1,G25,G25,Surrender ,Surrender of consent,1
Dread Disease W.L.,31-40,2,G21,G21,Surrender ,Surrender,2239
Dread Disease W.L.,31-40,2,G22,G22,Surrender ,Surrender after lapse,380
Dread Disease W.L.,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,45
Dread Disease W.L.,31-40,2,G24,G24,Surrender ,Surrender by conversion,1
Dread Disease W.L.,31-40,2,G25,G25,Surrender ,Surrender of consent,1
Dread Disease W.L.,41-50,1,G21,G21,Surrender ,Surrender,2302
Dread Disease W.L.,41-50,1,G22,G22,Surrender ,Surrender after lapse,537
Dread Disease W.L.,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,52
Dread Disease W.L.,41-50,1,G24,G24,Surrender ,Surrender by conversion,1
Dread Disease W.L.,41-50,2,G21,G21,Surrender ,Surrender,1554
Dread Disease W.L.,41-50,2,G22,G22,Surrender ,Surrender after lapse,308
Dread Disease W.L.,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,27
Dread Disease W.L.,41-50,2,G24,G24,Surrender ,Surrender by conversion,1
Dread Disease W.L.,51-60,1,G21,G21,Surrender ,Surrender,1382
Dread Disease W.L.,51-60,1,G22,G22,Surrender ,Surrender after lapse,291
Dread Disease W.L.,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,33
Dread Disease W.L.,51-60,1,G24,G24,Surrender ,Surrender by conversion,3
Dread Disease W.L.,51-60,1,G25,G25,Surrender ,Surrender of consent,1
Dread Disease W.L.,51-60,2,G21,G21,Surrender ,Surrender,1129
Dread Disease W.L.,51-60,2,G22,G22,Surrender ,Surrender after lapse,166
Dread Disease W.L.,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,18
Dread Disease W.L.,61-64,1,G21,G21,Surrender ,Surrender,143
Dread Disease W.L.,61-64,1,G22,G22,Surrender ,Surrender after lapse,32
Dread Disease W.L.,61-64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,4
Dread Disease W.L.,61-64,2,G21,G21,Surrender ,Surrender,153
Dread Disease W.L.,61-64,2,G22,G22,Surrender ,Surrender after lapse,20
Dread Disease W.L.,61-64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Dread Disease W.L.,greater than 64,1,G21,G21,Surrender ,Surrender,87
Dread Disease W.L.,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,15
Dread Disease W.L.,greater than 64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Dread Disease W.L.,greater than 64,2,G21,G21,Surrender ,Surrender,104
Dread Disease W.L.,greater than 64,2,G22,G22,Surrender ,Surrender after lapse,23
Dread Disease W.L.,greater than 64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Endowment,18-22,1,G21,G21,Surrender ,Surrender,228
Endowment,18-22,1,G22,G22,Surrender ,Surrender after lapse,32
Endowment,18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,5
Endowment,18-22,2,G21,G21,Surrender ,Surrender,260
Endowment,18-22,2,G22,G22,Surrender ,Surrender after lapse,27
Endowment,18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,3
Endowment,23-30,1,G21,G21,Surrender ,Surrender,794
Endowment,23-30,1,G22,G22,Surrender ,Surrender after lapse,82
Endowment,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,9
Endowment,23-30,1,G25,G25,Surrender ,Surrender of consent,2
Endowment,23-30,2,G21,G21,Surrender ,Surrender,779
Endowment,23-30,2,G22,G22,Surrender ,Surrender after lapse,44
Endowment,23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,13
Endowment,31-40,1,G21,G21,Surrender ,Surrender,1501
Endowment,31-40,1,G22,G22,Surrender ,Surrender after lapse,123
Endowment,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,16
Endowment,31-40,2,G21,G21,Surrender ,Surrender,1103
Endowment,31-40,2,G22,G22,Surrender ,Surrender after lapse,76
Endowment,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,6
Endowment,31-40,2,G25,G25,Surrender ,Surrender of consent,1
Endowment,31-40,3,G21,G21,Surrender ,Surrender,1
Endowment,41-50,1,G21,G21,Surrender ,Surrender,2238
Endowment,41-50,1,G22,G22,Surrender ,Surrender after lapse,92
Endowment,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,18
Endowment,41-50,1,G25,G25,Surrender ,Surrender of consent,1
Endowment,41-50,1,G26,G26,Surrender ,Retirement surrender,3
Endowment,41-50,2,G21,G21,Surrender ,Surrender,980
Endowment,41-50,2,G22,G22,Surrender ,Surrender after lapse,60
Endowment,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,3
Endowment,41-50,2,G25,G25,Surrender ,Surrender of consent,1
Endowment,41-50,3,G21,G21,Surrender ,Surrender,7
Endowment,51-60,1,G21,G21,Surrender ,Surrender,1575
Endowment,51-60,1,G22,G22,Surrender ,Surrender after lapse,56
Endowment,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,7
Endowment,51-60,1,G25,G25,Surrender ,Surrender of consent,1
Endowment,51-60,1,G26,G26,Surrender ,Retirement surrender,1
Endowment,51-60,2,G21,G21,Surrender ,Surrender,657
Endowment,51-60,2,G22,G22,Surrender ,Surrender after lapse,50
Endowment,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,3
Endowment,61-64,1,G21,G21,Surrender ,Surrender,420
Endowment,61-64,1,G22,G22,Surrender ,Surrender after lapse,11
Endowment,61-64,2,G21,G21,Surrender ,Surrender,202
Endowment,61-64,2,G22,G22,Surrender ,Surrender after lapse,11
Endowment,greater than 64,1,G21,G21,Surrender ,Surrender,394
Endowment,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,7
Endowment,greater than 64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,4
Endowment,greater than 64,2,G21,G21,Surrender ,Surrender,268
Endowment,greater than 64,2,G22,G22,Surrender ,Surrender after lapse,3
Endowment,greater than 64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,3
Female Disease,18-22,1,G21,G21,Surrender ,Surrender,28
Female Disease,18-22,1,G22,G22,Surrender ,Surrender after lapse,4
Female Disease,18-22,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Female Disease,18-22,2,G21,G21,Surrender ,Surrender,3089
Female Disease,18-22,2,G22,G22,Surrender ,Surrender after lapse,586
Female Disease,18-22,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,31
Female Disease,18-22,2,G24,G24,Surrender ,Surrender by conversion,3
Female Disease,18-22,2,G25,G25,Surrender ,Surrender of consent,1
Female Disease,23-30,1,G21,G21,Surrender ,Surrender,828
Female Disease,23-30,1,G22,G22,Surrender ,Surrender after lapse,103
Female Disease,23-30,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,5
Female Disease,23-30,2,G21,G21,Surrender ,Surrender,12476
Female Disease,23-30,2,G22,G22,Surrender ,Surrender after lapse,1923
Female Disease,23-30,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,135
Female Disease,23-30,2,G24,G24,Surrender ,Surrender by conversion,7
Female Disease,23-30,2,G25,G25,Surrender ,Surrender of consent,8
Female Disease,31-40,1,G21,G21,Surrender ,Surrender,1172
Female Disease,31-40,1,G22,G22,Surrender ,Surrender after lapse,175
Female Disease,31-40,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,12
Female Disease,31-40,1,G24,G24,Surrender ,Surrender by conversion,2
Female Disease,31-40,2,G21,G21,Surrender ,Surrender,7122
Female Disease,31-40,2,G22,G22,Surrender ,Surrender after lapse,1471
Female Disease,31-40,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,85
Female Disease,31-40,2,G24,G24,Surrender ,Surrender by conversion,6
Female Disease,31-40,2,G25,G25,Surrender ,Surrender of consent,11
Female Disease,41-50,1,G21,G21,Surrender ,Surrender,1171
Female Disease,41-50,1,G22,G22,Surrender ,Surrender after lapse,229
Female Disease,41-50,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,11
Female Disease,41-50,1,G24,G24,Surrender ,Surrender by conversion,1
Female Disease,41-50,1,G25,G25,Surrender ,Surrender of consent,1
Female Disease,41-50,2,G21,G21,Surrender ,Surrender,3785
Female Disease,41-50,2,G22,G22,Surrender ,Surrender after lapse,792
Female Disease,41-50,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,52
Female Disease,41-50,2,G24,G24,Surrender ,Surrender by conversion,6
Female Disease,41-50,2,G25,G25,Surrender ,Surrender of consent,5
Female Disease,51-60,1,G21,G21,Surrender ,Surrender,662
Female Disease,51-60,1,G22,G22,Surrender ,Surrender after lapse,70
Female Disease,51-60,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,9
Female Disease,51-60,1,G24,G24,Surrender ,Surrender by conversion,1
Female Disease,51-60,1,G25,G25,Surrender ,Surrender of consent,1
Female Disease,51-60,2,G21,G21,Surrender ,Surrender,1739
Female Disease,51-60,2,G22,G22,Surrender ,Surrender after lapse,305
Female Disease,51-60,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,25
Female Disease,51-60,2,G24,G24,Surrender ,Surrender by conversion,6
Female Disease,51-60,2,G25,G25,Surrender ,Surrender of consent,4
Female Disease,61-64,1,G21,G21,Surrender ,Surrender,50
Female Disease,61-64,1,G22,G22,Surrender ,Surrender after lapse,3
Female Disease,61-64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,2
Female Disease,61-64,2,G21,G21,Surrender ,Surrender,256
Female Disease,61-64,2,G22,G22,Surrender ,Surrender after lapse,57
Female Disease,61-64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,4
Female Disease,greater than 64,1,G21,G21,Surrender ,Surrender,45
Female Disease,greater than 64,1,G22,G22,Surrender ,Surrender after lapse,7
Female Disease,greater than 64,1,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Female Disease,greater than 64,1,G25,G25,Surrender ,Surrender of consent,1
Female Disease,greater than 64,2,G21,G21,Surrender ,Surrender,89
Female Disease,greater than 64,2,G22,G22,Surrender ,Surrender after lapse,15
Female Disease,greater than 64,2,G23,G23,Surrender ,Surrender after lapse on the policy cause,1
Inc. Dec. Term Life,18-22,1,G21,G21,Surrender ,Surrender,1
Inc. Dec. Term Life,23-30,1,G21,G21,Surrender ,Surrender,12
Inc. Dec. Term Life,23-30,1,G22,G22,Surrender ,Surrender after lapse,1
Inc. Dec. Term Life,23-30,2,G21,G21,Surrender ,Surrender,2
Inc. Dec. Term Life,23-30,2,G22,G22,Surrender ,Surrender after lapse,3
Inc. Dec. Term Life,31-40,1,G21,G21,Surrender ,Surrender,40
Inc. Dec. Term Life,31-40,1,G22,G22,Surrender ,Surrender after lapse,2
Inc. Dec. Term Life,31-40,1,G26,G26,Surrender ,Retirement surrender,1
Inc. Dec. Term Life,31-40,2,G21,G21,Surrender ,Surrender,7
Inc. Dec. Term Life,31-40,2,G22,G22,Surrender ,Surrender after lapse,3
Inc. Dec. Term Life,41-50,1,G21,G21,Surrender ,Surrender,76
Inc. Dec. Term Life,41-50,1,G22,G22,Surrender ,Surrender after lapse,8
Inc. Dec. Term Life,41-50,1,G24,G24,Surrender ,Surrender by conversion,3
Inc. Dec. Term Life,41-50,2,G21,G21,Surrender ,Surrender,16
