Policy Type Name,a_group,Insured'S Gender,count
Dread Disease T.L.,41-50,1,1391
Dread Disease T.L.,41-50,2,711
Dread Disease T.L.,51-60,1,673
Dread Disease T.L.,51-60,2,445
Dread Disease T.L.,61-64,1,92
Dread Disease T.L.,61-64,2,64
Dread Disease T.L.,greater than 64,1,38
Dread Disease T.L.,greater than 64,2,30
Dread Disease W.L.,18-22,1,1683
Dread Disease W.L.,18-22,2,1187
Dread Disease W.L.,23-30,1,5745
Dread Disease W.L.,23-30,2,3590
Dread Disease W.L.,31-40,1,5659
Dread Disease W.L.,31-40,2,3262
Dread Disease W.L.,41-50,1,2954
Dread Disease W.L.,41-50,2,1993
Dread Disease W.L.,51-60,1,1703
Dread Disease W.L.,51-60,2,1336
Dread Disease W.L.,61-64,1,202
Dread Disease W.L.,61-64,2,199
Dread Disease W.L.,greater than 64,1,70
Dread Disease W.L.,greater than 64,2,85
Endowment,18-22,1,7063
Endowment,18-22,2,6773
Endowment,23-30,1,20127
Endowment,23-30,2,13884
Endowment,31-40,1,20663
Endowment,31-40,2,10479
Endowment,41-50,1,17058
Endowment,41-50,2,10398
Endowment,51-60,1,10068
Endowment,51-60,2,5682
Endowment,61-64,1,1239
Endowment,61-64,2,652
Endowment,greater than 64,1,418
Endowment,greater than 64,2,263
Female Disease,18-22,2,5699
Female Disease,23-30,2,20164
Female Disease,31-40,2,12884
Female Disease,41-50,2,7103
Female Disease,51-60,2,3232
Female Disease,61-64,2,568
Female Disease,greater than 64,2,131
Inc. Dec. Term Life,18-22,1,321
Inc. Dec. Term Life,18-22,2,159
Inc. Dec. Term Life,23-30,1,2602
Inc. Dec. Term Life,23-30,2,931
Inc. Dec. Term Life,31-40,1,6631
Inc. Dec. Term Life,31-40,2,1500
Inc. Dec. Term Life,41-50,1,9463
Inc. Dec. Term Life,41-50,2,2132
Inc. Dec. Term Life,51-60,1,14353
Inc. Dec. Term Life,51-60,2,2771
Inc. Dec. Term Life,61-64,1,3183
Inc. Dec. Term Life,61-64,2,567
Inc. Dec. Term Life,greater than 64,1,1698
Inc. Dec. Term Life,greater than 64,2,320
Injury,18-22,1,2805
Injury,18-22,2,1965
Injury,23-30,1,11208
Injury,23-30,2,5673
Injury,31-40,1,14714
Injury,31-40,2,4927
Injury,41-50,1,10872
Injury,41-50,2,4680
Injury,51-60,1,11706
Injury,51-60,2,4182
Injury,61-64,1,2459
Injury,61-64,2,601
Injury,greater than 64,1,1517
Injury,greater than 64,2,357
J.M.I.P,18-22,1,33
J.M.I.P,18-22,2,26
J.M.I.P,23-30,1,88
J.M.I.P,23-30,2,57
J.M.I.P,31-40,1,103
J.M.I.P,31-40,2,51
J.M.I.P,41-50,1,60
J.M.I.P,41-50,2,51
J.M.I.P,51-60,1,8
J.M.I.P,51-60,2,10
J.M.I.P,61-64,1,1
J.M.I.P,greater than 64,1,1
J.M.I.P,greater than 64,2,1
Joint life,18-22,1,22
Joint life,18-22,2,15
Joint life,23-30,1,311
Joint life,23-30,2,25
Joint life,31-40,1,534
Joint life,31-40,2,52
Joint life,41-50,1,418
Joint life,41-50,2,67
Joint life,51-60,1,191
Joint life,51-60,2,39
Joint life,61-64,1,17
Joint life,61-64,2,8
Joint life,greater than 64,1,10
Joint life,greater than 64,2,5
Joint life(Flexible),18-22,1,136
Joint life(Flexible),18-22,2,107
Joint life(Flexible),23-30,1,758
Joint life(Flexible),23-30,2,191
Joint life(Flexible),31-40,1,925
Joint life(Flexible),31-40,2,237
Joint life(Flexible),41-50,1,699
Joint life(Flexible),41-50,2,215
Joint life(Flexible),51-60,1,375
Joint life(Flexible),51-60,2,160
Joint life(Flexible),61-64,1,53
Joint life(Flexible),61-64,2,25
Joint life(Flexible),greater than 64,1,48
Joint life(Flexible),greater than 64,2,32
Maternity Insurance(or New Pregnant Woman Insurance),18-22,2,53
Maternity Insurance(or New Pregnant Woman Insurance),23-30,2,537
Maternity Insurance(or New Pregnant Woman Insurance),31-40,2,251
Maternity Insurance(or New Pregnant Woman Insurance),41-50,2,1
Medical,18-22,1,49887
Medical,18-22,2,52887
Medical,23-30,1,151007
Medical,23-30,2,160910
Medical,31-40,1,161524
Medical,31-40,2,154707
Medical,41-50,1,107995
Medical,41-50,2,102018
Medical,51-60,1,78298
Medical,51-60,2,78363
Medical,61-64,1,19085
Medical,61-64,2,21470
Medical,greater than 64,1,14521
Medical,greater than 64,2,21500
Medical（Coins） ,31-40,1,1
Medical（Coins） ,31-40,2,1
Medical（Coins） ,41-50,1,3
Medical（Coins） ,41-50,2,2
Medical（Coins） ,51-60,1,5
Medical（Coins） ,51-60,2,8
Medical（Coins） ,61-64,1,4
Medical（Coins） ,61-64,2,3
Medical（Coins） ,greater than 64,1,9
Medical（Coins） ,greater than 64,2,2
M.I.P,18-22,1,997
M.I.P,18-22,2,189
M.I.P,23-30,1,21055
M.I.P,23-30,2,3035
M.I.P,31-40,1,37769
M.I.P,31-40,2,5748
M.I.P,41-50,1,18625
M.I.P,41-50,2,2953
M.I.P,51-60,1,6316
M.I.P,51-60,2,1117
M.I.P,61-64,1,775
M.I.P,61-64,2,170
M.I.P,greater than 64,1,360
M.I.P,greater than 64,2,110
Nursing care,18-22,1,14
Nursing care,18-22,2,19
Nursing care,23-30,1,108
Nursing care,23-30,2,54
Nursing care,31-40,1,146
Nursing care,31-40,2,83
Nursing care,41-50,1,99
Nursing care,41-50,2,86
Nursing care,51-60,1,97
Nursing care,51-60,2,110
Nursing care,61-64,1,22
Nursing care,61-64,2,28
Nursing care,greater than 64,1,11
Nursing care,greater than 64,2,7
Term life,18-22,1,9536
Term life,18-22,2,5952
Term life,23-30,1,37862
Term life,23-30,2,13365
Term life,31-40,1,63849
Term life,31-40,2,16707
Term life,41-50,1,59956
Term life,41-50,2,17267
Term life,51-60,1,44811
Term life,51-60,2,15053
Term life,61-64,1,7502
Term life,61-64,2,3483
Term life,greater than 64,1,6190
Term life,greater than 64,2,3676
VL Endowment,18-22,1,1025
VL Endowment,18-22,2,899
VL Endowment,23-30,1,2455
VL Endowment,23-30,2,1331
VL Endowment,31-40,1,2576
VL Endowment,31-40,2,1145
VL Endowment,41-50,1,2209
VL Endowment,41-50,2,1735
VL Endowment,51-60,1,1495
VL Endowment,51-60,2,1098
VL Endowment,61-64,1,187
VL Endowment,61-64,2,71
VL Endowment,greater than 64,1,53
VL Endowment,greater than 64,2,22
VL Whole life,18-22,1,431
VL Whole life,18-22,2,229
VL Whole life,23-30,1,2589
VL Whole life,23-30,2,1062
VL Whole life,31-40,1,3322
VL Whole life,31-40,2,1158
VL Whole life,41-50,1,1627
VL Whole life,41-50,2,744
VL Whole life,51-60,1,849
VL Whole life,51-60,2,551
VL Whole life,61-64,1,141
VL Whole life,61-64,2,122
VL Whole life,greater than 64,1,179
VL Whole life,greater than 64,2,169
Whole life,18-22,1,14299
Whole life,18-22,2,8364
Whole life,23-30,1,47779
Whole life,23-30,2,22123
Whole life,31-40,1,53066
Whole life,31-40,2,22873
Whole life,41-50,1,35028
Whole life,41-50,2,18272
Whole life,51-60,1,22376
Whole life,51-60,2,13957
Whole life,61-64,1,4436
Whole life,61-64,2,3621
Whole life,greater than 64,1,5241
Whole life,greater than 64,2,5365
