Policy Type Name,a_group,Policyholder'S_Gender,perfecture_name,address Count
Annuity(Annuity Certain ),23-30,1,Ehime,15
Annuity(Annuity Certain ),23-30,1,Fukui,70
Annuity(Annuity Certain ),23-30,1,Fukuoka,65
Annuity(Annuity Certain ),23-30,1,Fukushima,36
Annuity(Annuity Certain ),23-30,1,Gifu,35
Annuity(Annuity Certain ),23-30,1,Gunma,12
Annuity(Annuity Certain ),23-30,1,Hiroshima,54
Annuity(Annuity Certain ),23-30,1,Hokkaido,79
Annuity(Annuity Certain ),23-30,1,Hyōgo,38
Annuity(Annuity Certain ),23-30,1,Ibaraki,66
Annuity(Annuity Certain ),23-30,1,Ishikawa,85
Annuity(Annuity Certain ),23-30,1,Kagawa,28
Annuity(Annuity Certain ),23-30,1,Kagoshima,24
Annuity(Annuity Certain ),23-30,1,Kanagawa,89
Annuity(Annuity Certain ),23-30,1,Kochi,18
Annuity(Annuity Certain ),23-30,1,Kumamoto,26
Annuity(Annuity Certain ),23-30,1,Kyoto,23
Annuity(Annuity Certain ),23-30,1,Mie,24
Annuity(Annuity Certain ),23-30,1,Miyagi,19
Annuity(Annuity Certain ),23-30,1,Miyazaki,6
Annuity(Annuity Certain ),23-30,1,Nagano,29
Annuity(Annuity Certain ),23-30,1,Naoasaki,10
Annuity(Annuity Certain ),23-30,1,Nara,9
Annuity(Annuity Certain ),23-30,1,Niigata,30
Annuity(Annuity Certain ),23-30,1,Oita,12
Annuity(Annuity Certain ),23-30,1,Okayama,17
Annuity(Annuity Certain ),23-30,1,Okinawa,8
Annuity(Annuity Certain ),23-30,1,Osaka,75
Annuity(Annuity Certain ),23-30,1,Saga,7
Annuity(Annuity Certain ),23-30,1,Saitama,52
Annuity(Annuity Certain ),23-30,1,Shiga,12
Annuity(Annuity Certain ),23-30,1,Shimane,13
Annuity(Annuity Certain ),23-30,1,Shizuoka,56
Annuity(Annuity Certain ),23-30,1,Tochigi,14
Annuity(Annuity Certain ),23-30,1,Tokushima,7
Annuity(Annuity Certain ),23-30,1,Tokyo,199
Annuity(Annuity Certain ),23-30,1,Tottori,11
Annuity(Annuity Certain ),23-30,1,Toyama,180
Annuity(Annuity Certain ),23-30,1,Wakayama,13
Annuity(Annuity Certain ),23-30,1,Yamagata,42
Annuity(Annuity Certain ),23-30,1,Yamaguchi,33
Annuity(Annuity Certain ),23-30,1,Yamanashi,11
Annuity(Annuity Certain ),23-30,2,Aichi,49
Annuity(Annuity Certain ),23-30,2,Akita,12
Annuity(Annuity Certain ),23-30,2,Aomori,20
Annuity(Annuity Certain ),23-30,2,Chiba,25
Annuity(Annuity Certain ),23-30,2,Ehime,6
Annuity(Annuity Certain ),23-30,2,Fukui,36
Annuity(Annuity Certain ),23-30,2,Fukuoka,48
Annuity(Annuity Certain ),23-30,2,Fukushima,30
Annuity(Annuity Certain ),23-30,2,Gifu,15
Annuity(Annuity Certain ),23-30,2,Gunma,9
Annuity(Annuity Certain ),23-30,2,Hiroshima,28
Annuity(Annuity Certain ),23-30,2,Hokkaido,70
Annuity(Annuity Certain ),23-30,2,Hyōgo,29
Annuity(Annuity Certain ),23-30,2,Ibaraki,43
Annuity(Annuity Certain ),23-30,2,Ishikawa,54
Annuity(Annuity Certain ),23-30,2,Kagawa,16
Annuity(Annuity Certain ),23-30,2,Kagoshima,24
Annuity(Annuity Certain ),23-30,2,Kanagawa,53
Annuity(Annuity Certain ),23-30,2,Kochi,17
Annuity(Annuity Certain ),23-30,2,Kumamoto,22
Annuity(Annuity Certain ),23-30,2,Kyoto,17
Annuity(Annuity Certain ),23-30,2,Mie,12
Annuity(Annuity Certain ),23-30,2,Miyagi,24
Annuity(Annuity Certain ),23-30,2,Miyazaki,3
Annuity(Annuity Certain ),23-30,2,Nagano,20
Annuity(Annuity Certain ),23-30,2,Naoasaki,16
Annuity(Annuity Certain ),23-30,2,Nara,10
Annuity(Annuity Certain ),23-30,2,Niigata,23
Annuity(Annuity Certain ),23-30,2,Oita,9
Annuity(Annuity Certain ),23-30,2,Okayama,23
Annuity(Annuity Certain ),23-30,2,Okinawa,8
Annuity(Annuity Certain ),23-30,2,Osaka,65
Annuity(Annuity Certain ),23-30,2,Saga,6
Annuity(Annuity Certain ),23-30,2,Saitama,61
Annuity(Annuity Certain ),23-30,2,Shiga,9
Annuity(Annuity Certain ),23-30,2,Shimane,25
Annuity(Annuity Certain ),23-30,2,Shizuoka,36
Annuity(Annuity Certain ),23-30,2,Tochigi,16
Annuity(Annuity Certain ),23-30,2,Tokushima,11
Annuity(Annuity Certain ),23-30,2,Tokyo,111
Annuity(Annuity Certain ),23-30,2,Tottori,7
Annuity(Annuity Certain ),23-30,2,Toyama,156
Annuity(Annuity Certain ),23-30,2,Wakayama,7
Annuity(Annuity Certain ),23-30,2,Yamagata,50
Annuity(Annuity Certain ),23-30,2,Yamaguchi,41
Annuity(Annuity Certain ),23-30,2,Yamanashi,7
Annuity(Annuity Certain ),31-40,1,Aichi,136
Annuity(Annuity Certain ),31-40,1,Akita,13
Annuity(Annuity Certain ),31-40,1,Aomori,28
Annuity(Annuity Certain ),31-40,1,Chiba,61
Annuity(Annuity Certain ),31-40,1,Ehime,8
Annuity(Annuity Certain ),31-40,1,Fukui,86
Annuity(Annuity Certain ),31-40,1,Fukuoka,27
Annuity(Annuity Certain ),31-40,1,Fukushima,44
Annuity(Annuity Certain ),31-40,1,Gifu,35
Annuity(Annuity Certain ),31-40,1,Gunma,15
Annuity(Annuity Certain ),31-40,1,Hiroshima,36
Annuity(Annuity Certain ),31-40,1,Hokkaido,133
Annuity(Annuity Certain ),31-40,1,Hyōgo,34
Annuity(Annuity Certain ),31-40,1,Ibaraki,89
Annuity(Annuity Certain ),31-40,1,Ishikawa,109
Annuity(Annuity Certain ),31-40,1,Kagawa,30
Annuity(Annuity Certain ),31-40,1,Kagoshima,10
Annuity(Annuity Certain ),31-40,1,Kanagawa,90
Annuity(Annuity Certain ),31-40,1,Kochi,10
Annuity(Annuity Certain ),31-40,1,Kumamoto,19
Annuity(Annuity Certain ),31-40,1,Kyoto,25
Annuity(Annuity Certain ),31-40,1,Mie,30
Annuity(Annuity Certain ),31-40,1,Miyagi,22
Annuity(Annuity Certain ),31-40,1,Miyazaki,10
Annuity(Annuity Certain ),31-40,1,Nagano,33
Annuity(Annuity Certain ),31-40,1,Naoasaki,14
Annuity(Annuity Certain ),31-40,1,Nara,10
Annuity(Annuity Certain ),31-40,1,Niigata,19
Annuity(Annuity Certain ),31-40,1,Oita,6
Annuity(Annuity Certain ),31-40,1,Okayama,21
Annuity(Annuity Certain ),31-40,1,Okinawa,6
Annuity(Annuity Certain ),31-40,1,Osaka,84
Annuity(Annuity Certain ),31-40,1,Saga,6
Annuity(Annuity Certain ),31-40,1,Saitama,63
Annuity(Annuity Certain ),31-40,1,Shiga,9
Annuity(Annuity Certain ),31-40,1,Shimane,7
Annuity(Annuity Certain ),31-40,1,Shizuoka,31
Annuity(Annuity Certain ),31-40,1,Tochigi,16
Annuity(Annuity Certain ),31-40,1,Tokushima,8
Annuity(Annuity Certain ),31-40,1,Tokyo,154
Annuity(Annuity Certain ),31-40,1,Tottori,10
Annuity(Annuity Certain ),31-40,1,Toyama,276
Annuity(Annuity Certain ),31-40,1,Wakayama,13
Annuity(Annuity Certain ),31-40,1,Yamagata,32
Annuity(Annuity Certain ),31-40,1,Yamaguchi,52
Annuity(Annuity Certain ),31-40,1,Yamanashi,10
Annuity(Annuity Certain ),31-40,2,Aichi,91
Annuity(Annuity Certain ),31-40,2,Akita,13
Annuity(Annuity Certain ),31-40,2,Aomori,18
Annuity(Annuity Certain ),31-40,2,Chiba,28
Annuity(Annuity Certain ),31-40,2,Ehime,9
Annuity(Annuity Certain ),31-40,2,Fukui,69
Annuity(Annuity Certain ),31-40,2,Fukuoka,53
Annuity(Annuity Certain ),31-40,2,Fukushima,30
Annuity(Annuity Certain ),31-40,2,Gifu,21
Annuity(Annuity Certain ),31-40,2,Gunma,10
Annuity(Annuity Certain ),31-40,2,Hiroshima,27
Annuity(Annuity Certain ),31-40,2,Hokkaido,74
Annuity(Annuity Certain ),31-40,2,Hyōgo,20
Annuity(Annuity Certain ),31-40,2,Ibaraki,67
Annuity(Annuity Certain ),31-40,2,Ishikawa,76
Annuity(Annuity Certain ),31-40,2,Kagawa,18
Annuity(Annuity Certain ),31-40,2,Kagoshima,11
Annuity(Annuity Certain ),31-40,2,Kanagawa,59
Annuity(Annuity Certain ),31-40,2,Kochi,13
Annuity(Annuity Certain ),31-40,2,Kumamoto,19
Annuity(Annuity Certain ),31-40,2,Kyoto,17
Annuity(Annuity Certain ),31-40,2,Mie,20
Annuity(Annuity Certain ),31-40,2,Miyagi,24
Annuity(Annuity Certain ),31-40,2,Miyazaki,13
Annuity(Annuity Certain ),31-40,2,Nagano,17
Annuity(Annuity Certain ),31-40,2,Naoasaki,11
Annuity(Annuity Certain ),31-40,2,Nara,2
Annuity(Annuity Certain ),31-40,2,Niigata,14
Annuity(Annuity Certain ),31-40,2,Oita,9
Annuity(Annuity Certain ),31-40,2,Okayama,16
Annuity(Annuity Certain ),31-40,2,Okinawa,9
Annuity(Annuity Certain ),31-40,2,Osaka,53
Annuity(Annuity Certain ),31-40,2,Saga,5
Annuity(Annuity Certain ),31-40,2,Saitama,28
Annuity(Annuity Certain ),31-40,2,Shiga,11
Annuity(Annuity Certain ),31-40,2,Shimane,10
Annuity(Annuity Certain ),31-40,2,Shizuoka,37
Annuity(Annuity Certain ),31-40,2,Tochigi,23
Annuity(Annuity Certain ),31-40,2,Tokushima,12
Annuity(Annuity Certain ),31-40,2,Tokyo,84
Annuity(Annuity Certain ),31-40,2,Tottori,9
Annuity(Annuity Certain ),31-40,2,Toyama,234
Annuity(Annuity Certain ),31-40,2,Wakayama,7
Annuity(Annuity Certain ),31-40,2,Yamagata,44
Annuity(Annuity Certain ),31-40,2,Yamaguchi,39
Annuity(Annuity Certain ),31-40,2,Yamanashi,7
Annuity(Annuity Certain ),41-50,1,Aichi,97
Annuity(Annuity Certain ),41-50,1,Akita,8
Annuity(Annuity Certain ),41-50,1,Aomori,20
Annuity(Annuity Certain ),41-50,1,Chiba,34
Annuity(Annuity Certain ),41-50,1,Ehime,10
Annuity(Annuity Certain ),41-50,1,Fukui,51
Annuity(Annuity Certain ),41-50,1,Fukuoka,25
Annuity(Annuity Certain ),41-50,1,Fukushima,37
Annuity(Annuity Certain ),41-50,1,Gifu,15
Annuity(Annuity Certain ),41-50,1,Gunma,6
Annuity(Annuity Certain ),41-50,1,Hiroshima,25
Annuity(Annuity Certain ),41-50,1,Hokkaido,132
Annuity(Annuity Certain ),41-50,1,Hyōgo,25
Annuity(Annuity Certain ),41-50,1,Ibaraki,82
Annuity(Annuity Certain ),41-50,1,Ishikawa,86
Annuity(Annuity Certain ),41-50,1,Kagawa,22
Annuity(Annuity Certain ),41-50,1,Kagoshima,15
Annuity(Annuity Certain ),41-50,1,Kanagawa,59
Annuity(Annuity Certain ),41-50,1,Kochi,19
Annuity(Annuity Certain ),41-50,1,Kumamoto,22
Annuity(Annuity Certain ),41-50,1,Kyoto,15
Annuity(Annuity Certain ),41-50,1,Mie,24
Annuity(Annuity Certain ),41-50,1,Miyagi,13
Annuity(Annuity Certain ),41-50,1,Miyazaki,8
Annuity(Annuity Certain ),41-50,1,Nagano,29
Annuity(Annuity Certain ),41-50,1,Naoasaki,12
Annuity(Annuity Certain ),41-50,1,Nara,8
Annuity(Annuity Certain ),41-50,1,Niigata,15
Annuity(Annuity Certain ),41-50,1,Oita,9
Annuity(Annuity Certain ),41-50,1,Okayama,24
Annuity(Annuity Certain ),41-50,1,Okinawa,3
Annuity(Annuity Certain ),41-50,1,Osaka,56
Annuity(Annuity Certain ),41-50,1,Saga,5
Annuity(Annuity Certain ),41-50,1,Saitama,51
Annuity(Annuity Certain ),41-50,1,Shiga,5
Annuity(Annuity Certain ),41-50,1,Shimane,8
Annuity(Annuity Certain ),41-50,1,Shizuoka,34
Annuity(Annuity Certain ),41-50,1,Tochigi,12
Annuity(Annuity Certain ),41-50,1,Tokushima,8
Annuity(Annuity Certain ),41-50,1,Tokyo,87
Annuity(Annuity Certain ),41-50,1,Tottori,4
Annuity(Annuity Certain ),41-50,1,Toyama,193
Annuity(Annuity Certain ),41-50,1,Wakayama,7
Annuity(Annuity Certain ),41-50,1,Yamagata,17
Annuity(Annuity Certain ),41-50,1,Yamaguchi,51
Annuity(Annuity Certain ),41-50,1,Yamanashi,5
Annuity(Annuity Certain ),41-50,2,Aichi,72
Annuity(Annuity Certain ),41-50,2,Akita,12
Annuity(Annuity Certain ),41-50,2,Aomori,24
Annuity(Annuity Certain ),41-50,2,Chiba,35
Annuity(Annuity Certain ),41-50,2,Ehime,4
Annuity(Annuity Certain ),41-50,2,Fukui,43
Annuity(Annuity Certain ),41-50,2,Fukuoka,33
Annuity(Annuity Certain ),41-50,2,Fukushima,27
Annuity(Annuity Certain ),41-50,2,Gifu,15
Annuity(Annuity Certain ),41-50,2,Gunma,11
Annuity(Annuity Certain ),41-50,2,Hiroshima,21
Annuity(Annuity Certain ),41-50,2,Hokkaido,69
Annuity(Annuity Certain ),41-50,2,Hyōgo,23
Annuity(Annuity Certain ),41-50,2,Ibaraki,78
Annuity(Annuity Certain ),41-50,2,Ishikawa,87
Annuity(Annuity Certain ),41-50,2,Kagawa,17
Annuity(Annuity Certain ),41-50,2,Kagoshima,12
Annuity(Annuity Certain ),41-50,2,Kanagawa,44
Annuity(Annuity Certain ),41-50,2,Kochi,9
Annuity(Annuity Certain ),41-50,2,Kumamoto,20
Annuity(Annuity Certain ),41-50,2,Kyoto,11
Annuity(Annuity Certain ),41-50,2,Mie,40
Annuity(Annuity Certain ),41-50,2,Miyagi,21
Annuity(Annuity Certain ),41-50,2,Miyazaki,7
Annuity(Annuity Certain ),41-50,2,Nagano,29
Annuity(Annuity Certain ),41-50,2,Naoasaki,11
Annuity(Annuity Certain ),41-50,2,Nara,8
Annuity(Annuity Certain ),41-50,2,Niigata,18
Annuity(Annuity Certain ),41-50,2,Oita,6
Annuity(Annuity Certain ),41-50,2,Okayama,14
Annuity(Annuity Certain ),41-50,2,Okinawa,1
Annuity(Annuity Certain ),41-50,2,Osaka,64
Annuity(Annuity Certain ),41-50,2,Saga,5
Annuity(Annuity Certain ),41-50,2,Saitama,39
Annuity(Annuity Certain ),41-50,2,Shiga,6
Annuity(Annuity Certain ),41-50,2,Shimane,6
Annuity(Annuity Certain ),41-50,2,Shizuoka,28
Annuity(Annuity Certain ),41-50,2,Tochigi,12
Annuity(Annuity Certain ),41-50,2,Tokushima,3
Annuity(Annuity Certain ),41-50,2,Tokyo,73
Annuity(Annuity Certain ),41-50,2,Tottori,5
Annuity(Annuity Certain ),41-50,2,Toyama,177
Annuity(Annuity Certain ),41-50,2,Wakayama,12
Annuity(Annuity Certain ),41-50,2,Yamagata,29
Annuity(Annuity Certain ),41-50,2,Yamaguchi,46
Annuity(Annuity Certain ),41-50,2,Yamanashi,2
Annuity(Annuity Certain ),51-60,1,Aichi,45
Annuity(Annuity Certain ),51-60,1,Akita,2
Annuity(Annuity Certain ),51-60,1,Aomori,9
Annuity(Annuity Certain ),51-60,1,Chiba,18
Annuity(Annuity Certain ),51-60,1,Ehime,6
Annuity(Annuity Certain ),51-60,1,Fukui,18
Annuity(Annuity Certain ),51-60,1,Fukuoka,11
Annuity(Annuity Certain ),51-60,1,Fukushima,20
Annuity(Annuity Certain ),51-60,1,Gifu,9
Annuity(Annuity Certain ),51-60,1,Gunma,4
Annuity(Annuity Certain ),51-60,1,Hiroshima,11
Annuity(Annuity Certain ),51-60,1,Hokkaido,59
Annuity(Annuity Certain ),51-60,1,Hyōgo,8
Annuity(Annuity Certain ),51-60,1,Ibaraki,21
Annuity(Annuity Certain ),51-60,1,Ishikawa,37
Annuity(Annuity Certain ),51-60,1,Kagawa,12
Annuity(Annuity Certain ),51-60,1,Kagoshima,5
Annuity(Annuity Certain ),51-60,1,Kanagawa,21
Annuity(Annuity Certain ),51-60,1,Kochi,2
Annuity(Annuity Certain ),51-60,1,Kumamoto,9
Annuity(Annuity Certain ),51-60,1,Kyoto,4
Annuity(Annuity Certain ),51-60,1,Mie,30
Annuity(Annuity Certain ),51-60,1,Miyagi,6
Annuity(Annuity Certain ),51-60,1,Miyazaki,4
Annuity(Annuity Certain ),51-60,1,Nagano,10
Annuity(Annuity Certain ),51-60,1,Naoasaki,4
Annuity(Annuity Certain ),51-60,1,Nara,2
Annuity(Annuity Certain ),51-60,1,Niigata,5
Annuity(Annuity Certain ),51-60,1,Oita,6
Annuity(Annuity Certain ),51-60,1,Okayama,4
Annuity(Annuity Certain ),51-60,1,Okinawa,1
Annuity(Annuity Certain ),51-60,1,Osaka,25
Annuity(Annuity Certain ),51-60,1,Saga,2
Annuity(Annuity Certain ),51-60,1,Saitama,21
Annuity(Annuity Certain ),51-60,1,Shiga,9
Annuity(Annuity Certain ),51-60,1,Shimane,5
Annuity(Annuity Certain ),51-60,1,Shizuoka,8
Annuity(Annuity Certain ),51-60,1,Tochigi,4
Annuity(Annuity Certain ),51-60,1,Tokushima,4
Annuity(Annuity Certain ),51-60,1,Tokyo,54
Annuity(Annuity Certain ),51-60,1,Tottori,1
Annuity(Annuity Certain ),51-60,1,Toyama,112
Annuity(Annuity Certain ),51-60,1,Wakayama,2
Annuity(Annuity Certain ),51-60,1,Yamagata,2
Annuity(Annuity Certain ),51-60,1,Yamaguchi,32
Annuity(Annuity Certain ),51-60,1,Yamanashi,2
Annuity(Annuity Certain ),51-60,2,Aichi,46
Annuity(Annuity Certain ),51-60,2,Akita,2
Annuity(Annuity Certain ),51-60,2,Aomori,6
Annuity(Annuity Certain ),51-60,2,Chiba,12
Annuity(Annuity Certain ),51-60,2,Ehime,5
Annuity(Annuity Certain ),51-60,2,Fukui,19
Annuity(Annuity Certain ),51-60,2,Fukuoka,30
Annuity(Annuity Certain ),51-60,2,Fukushima,11
Annuity(Annuity Certain ),51-60,2,Gifu,18
Annuity(Annuity Certain ),51-60,2,Gunma,3
Annuity(Annuity Certain ),51-60,2,Hiroshima,16
Annuity(Annuity Certain ),51-60,2,Hokkaido,59
Annuity(Annuity Certain ),51-60,2,Hyōgo,6
Annuity(Annuity Certain ),51-60,2,Ibaraki,27
Annuity(Annuity Certain ),51-60,2,Ishikawa,31
Annuity(Annuity Certain ),51-60,2,Kagawa,11
Annuity(Annuity Certain ),51-60,2,Kagoshima,11
Annuity(Annuity Certain ),51-60,2,Kanagawa,33
Annuity(Annuity Certain ),51-60,2,Kochi,2
Annuity(Annuity Certain ),51-60,2,Kumamoto,8
Annuity(Annuity Certain ),51-60,2,Kyoto,5
Annuity(Annuity Certain ),51-60,2,Mie,39
Annuity(Annuity Certain ),51-60,2,Miyagi,3
Annuity(Annuity Certain ),51-60,2,Miyazaki,2
Annuity(Annuity Certain ),51-60,2,Nagano,5
Annuity(Annuity Certain ),51-60,2,Naoasaki,7
Annuity(Annuity Certain ),51-60,2,Nara,2
Annuity(Annuity Certain ),51-60,2,Niigata,6
Annuity(Annuity Certain ),51-60,2,Oita,2
Annuity(Annuity Certain ),51-60,2,Okayama,14
Annuity(Annuity Certain ),51-60,2,Okinawa,2
Annuity(Annuity Certain ),51-60,2,Osaka,26
Annuity(Annuity Certain ),51-60,2,Saitama,10
Annuity(Annuity Certain ),51-60,2,Shiga,2
Annuity(Annuity Certain ),51-60,2,Shimane,2
Annuity(Annuity Certain ),51-60,2,Shizuoka,7
Annuity(Annuity Certain ),51-60,2,Tochigi,4
Annuity(Annuity Certain ),51-60,2,Tokushima,1
Annuity(Annuity Certain ),51-60,2,Tokyo,48
Annuity(Annuity Certain ),51-60,2,Toyama,82
Annuity(Annuity Certain ),51-60,2,Wakayama,5
Annuity(Annuity Certain ),51-60,2,Yamagata,5
Annuity(Annuity Certain ),51-60,2,Yamaguchi,43
Annuity(Annuity Certain ),51-60,2,Yamanashi,3
Annuity(Annuity Certain ),61-64,1,Aichi,1
Annuity(Annuity Certain ),61-64,1,Chiba,4
Annuity(Annuity Certain ),61-64,1,Fukui,1
Annuity(Annuity Certain ),61-64,1,Fukuoka,1
Annuity(Annuity Certain ),61-64,1,Fukushima,3
Annuity(Annuity Certain ),61-64,1,Gifu,2
Annuity(Annuity Certain ),61-64,1,Hokkaido,4
Annuity(Annuity Certain ),61-64,1,Ibaraki,1
Annuity(Annuity Certain ),61-64,1,Ishikawa,4
Annuity(Annuity Certain ),61-64,1,Kagawa,1
Annuity(Annuity Certain ),61-64,1,Kanagawa,1
Annuity(Annuity Certain ),61-64,1,Kochi,1
Annuity(Annuity Certain ),61-64,1,Kyoto,1
Annuity(Annuity Certain ),61-64,1,Mie,2
Annuity(Annuity Certain ),61-64,1,Nara,1
Annuity(Annuity Certain ),61-64,1,Oita,1
Annuity(Annuity Certain ),61-64,1,Okayama,2
Annuity(Annuity Certain ),61-64,1,Osaka,1
Annuity(Annuity Certain ),61-64,1,Saitama,4
Annuity(Annuity Certain ),61-64,1,Tokyo,9
Annuity(Annuity Certain ),61-64,1,Toyama,19
Annuity(Annuity Certain ),61-64,2,Aichi,2
Annuity(Annuity Certain ),61-64,2,Chiba,1
Annuity(Annuity Certain ),61-64,2,Fukuoka,3
Annuity(Annuity Certain ),61-64,2,Hokkaido,1
Annuity(Annuity Certain ),61-64,2,Hyōgo,1
Annuity(Annuity Certain ),61-64,2,Kagawa,1
Annuity(Annuity Certain ),61-64,2,Kanagawa,6
Annuity(Annuity Certain ),61-64,2,Mie,1
Annuity(Annuity Certain ),61-64,2,Miyagi,3
Annuity(Annuity Certain ),61-64,2,Nagano,1
Annuity(Annuity Certain ),61-64,2,Naoasaki,1
Annuity(Annuity Certain ),61-64,2,Niigata,1
Annuity(Annuity Certain ),61-64,2,Oita,2
Annuity(Annuity Certain ),61-64,2,Okayama,1
Annuity(Annuity Certain ),61-64,2,Osaka,4
Annuity(Annuity Certain ),61-64,2,Saga,1
Annuity(Annuity Certain ),61-64,2,Saitama,4
Annuity(Annuity Certain ),61-64,2,Shizuoka,2
Annuity(Annuity Certain ),61-64,2,Tokyo,11
Annuity(Annuity Certain ),61-64,2,Toyama,9
Annuity(Annuity Certain ),greater than 64,1,Aichi,2
Annuity(Annuity Certain ),greater than 64,1,Akita,2
Annuity(Annuity Certain ),greater than 64,1,Fukui,2
Annuity(Annuity Certain ),greater than 64,1,Fukuoka,1
Annuity(Annuity Certain ),greater than 64,1,Gifu,1
