Policy Type Name,a_group,Policyholder'S_Gender,count
Joint life(Flexible),31-40,1,1725
Joint life(Flexible),31-40,2,706
Joint life(Flexible),41-50,1,1264
Joint life(Flexible),41-50,2,772
Joint life(Flexible),51-60,1,907
Joint life(Flexible),51-60,2,743
Joint life(Flexible),61-64,1,212
Joint life(Flexible),61-64,2,191
Joint life(Flexible),greater than 64,1,358
Joint life(Flexible),greater than 64,2,434
Juvenile,18-22,1,950
Juvenile,18-22,2,925
Juvenile,23-30,1,14702
Juvenile,23-30,2,8011
Juvenile,31-40,1,22064
Juvenile,31-40,2,9230
Juvenile,41-50,1,4140
Juvenile,41-50,2,1480
Juvenile,51-60,1,741
Juvenile,51-60,2,1473
Juvenile,61-64,1,184
Juvenile,61-64,2,422
Juvenile,greater than 64,1,60
Juvenile,greater than 64,2,148
Maternity Insurance(or New Pregnant Woman Insurance),18-22,1,4
Maternity Insurance(or New Pregnant Woman Insurance),18-22,2,38
Maternity Insurance(or New Pregnant Woman Insurance),23-30,1,60
Maternity Insurance(or New Pregnant Woman Insurance),23-30,2,436
Maternity Insurance(or New Pregnant Woman Insurance),31-40,1,60
Maternity Insurance(or New Pregnant Woman Insurance),31-40,2,211
Maternity Insurance(or New Pregnant Woman Insurance),41-50,1,6
Maternity Insurance(or New Pregnant Woman Insurance),41-50,2,8
Maternity Insurance(or New Pregnant Woman Insurance),51-60,1,3
Maternity Insurance(or New Pregnant Woman Insurance),51-60,2,9
Maternity Insurance(or New Pregnant Woman Insurance),61-64,1,2
Maternity Insurance(or New Pregnant Woman Insurance),61-64,2,4
Maternity Insurance(or New Pregnant Woman Insurance),greater than 64,1,1
Maternity Insurance(or New Pregnant Woman Insurance),greater than 64,2,1
Medical,18-22,1,64568
Medical,18-22,2,75528
Medical,23-30,1,296989
Medical,23-30,2,318628
Medical,31-40,1,465370
Medical,31-40,2,407197
Medical,41-50,1,328401
Medical,41-50,2,280509
Medical,41-50,3,1
Medical,51-60,1,204483
Medical,51-60,2,193889
Medical,51-60,3,2
Medical,61-64,1,52857
Medical,61-64,2,61470
Medical,greater than 64,1,65935
Medical,greater than 64,2,103204
Medical,greater than 64,3,1
Medical（Coins） ,18-22,1,5
Medical（Coins） ,18-22,2,5
Medical（Coins） ,23-30,1,21
Medical（Coins） ,23-30,2,14
Medical（Coins） ,31-40,1,93
Medical（Coins） ,31-40,2,94
Medical（Coins） ,41-50,1,356
Medical（Coins） ,41-50,2,333
Medical（Coins） ,51-60,1,687
Medical（Coins） ,51-60,2,464
Medical（Coins） ,61-64,1,343
Medical（Coins） ,61-64,2,204
Medical（Coins） ,greater than 64,1,553
Medical（Coins） ,greater than 64,2,269
M.I.P,18-22,1,2583
M.I.P,18-22,2,538
M.I.P,23-30,1,87592
M.I.P,23-30,2,12627
M.I.P,31-40,1,205312
M.I.P,31-40,2,27938
M.I.P,41-50,1,92949
M.I.P,41-50,2,12112
M.I.P,51-60,1,20121
M.I.P,51-60,2,3339
M.I.P,61-64,1,1535
M.I.P,61-64,2,561
M.I.P,greater than 64,1,738
M.I.P,greater than 64,2,412
Nursing care,18-22,1,18
Nursing care,18-22,2,18
Nursing care,23-30,1,138
Nursing care,23-30,2,45
Nursing care,31-40,1,192
Nursing care,31-40,2,84
Nursing care,41-50,1,133
Nursing care,41-50,2,95
Nursing care,51-60,1,106
Nursing care,51-60,2,127
Nursing care,61-64,1,30
Nursing care,61-64,2,28
Nursing care,greater than 64,1,9
Nursing care,greater than 64,2,9
Term life,18-22,1,4371
Term life,18-22,2,2259
Term life,23-30,1,27186
Term life,23-30,2,7853
Term life,31-40,0,1
Term life,31-40,1,54149
Term life,31-40,2,14258
Term life,31-40,3,5
Term life,41-50,0,1
Term life,41-50,1,45991
Term life,41-50,2,15306
Term life,41-50,3,1
Term life,51-60,1,35006
Term life,51-60,2,15127
Term life,51-60,3,1
Term life,61-64,1,7372
Term life,61-64,2,4572
Term life,greater than 64,0,1
Term life,greater than 64,1,7337
Term life,greater than 64,2,5836
VL Endowment,18-22,1,13
VL Endowment,18-22,2,14
VL Endowment,23-30,1,81
VL Endowment,23-30,2,58
VL Endowment,31-40,1,234
VL Endowment,31-40,2,58
VL Endowment,31-40,3,7
VL Endowment,41-50,1,117
VL Endowment,41-50,2,70
VL Endowment,51-60,1,130
VL Endowment,51-60,2,34
VL Endowment,61-64,1,29
VL Endowment,61-64,2,8
VL Endowment,greater than 64,1,62
VL Endowment,greater than 64,2,14
VL Whole life,18-22,1,600
VL Whole life,18-22,2,302
VL Whole life,23-30,1,4951
VL Whole life,23-30,2,1829
VL Whole life,31-40,1,6354
VL Whole life,31-40,2,2059
VL Whole life,41-50,1,2961
VL Whole life,41-50,2,1361
VL Whole life,51-60,1,1435
VL Whole life,51-60,2,1059
VL Whole life,61-64,1,276
VL Whole life,61-64,2,245
VL Whole life,greater than 64,1,322
VL Whole life,greater than 64,2,354
Whole life,18-22,1,25307
Whole life,18-22,2,17385
Whole life,23-30,1,117108
Whole life,23-30,2,65372
Whole life,31-40,1,155652
Whole life,31-40,2,87923
Whole life,31-40,3,2
Whole life,41-50,1,92484
Whole life,41-50,2,70035
Whole life,41-50,3,2
Whole life,51-60,1,46355
Whole life,51-60,2,47077
Whole life,51-60,3,2
Whole life,61-64,1,11215
Whole life,61-64,2,14374
Whole life,greater than 64,1,15812
Whole life,greater than 64,2,24596
