Policy Type Name,a_group,Insured'S Gender,count
J.M.I.P,31-40,2,51
J.M.I.P,41-50,1,64
J.M.I.P,41-50,2,51
J.M.I.P,51-60,1,8
J.M.I.P,51-60,2,10
J.M.I.P,61-64,1,1
J.M.I.P,greater than 64,1,1
J.M.I.P,greater than 64,2,1
Joint life,18-22,1,23
Joint life,18-22,2,16
Joint life,23-30,1,417
Joint life,23-30,2,33
Joint life,31-40,1,721
Joint life,31-40,2,68
Joint life,41-50,1,511
Joint life,41-50,2,79
Joint life,51-60,1,217
Joint life,51-60,2,47
Joint life,61-64,1,17
Joint life,61-64,2,8
Joint life,greater than 64,1,10
Joint life,greater than 64,2,5
Joint life(Flexible),18-22,1,360
Joint life(Flexible),18-22,2,276
Joint life(Flexible),23-30,1,1457
Joint life(Flexible),23-30,2,513
Joint life(Flexible),31-40,1,2084
Joint life(Flexible),31-40,2,682
Joint life(Flexible),41-50,1,1363
Joint life(Flexible),41-50,2,500
Joint life(Flexible),51-60,1,798
Joint life(Flexible),51-60,2,432
Joint life(Flexible),61-64,1,134
Joint life(Flexible),61-64,2,59
Joint life(Flexible),greater than 64,1,107
Joint life(Flexible),greater than 64,2,82
Maternity Insurance(or New Pregnant Woman Insurance),18-22,2,53
Maternity Insurance(or New Pregnant Woman Insurance),23-30,2,537
Maternity Insurance(or New Pregnant Woman Insurance),31-40,2,251
Maternity Insurance(or New Pregnant Woman Insurance),41-50,2,1
Medical,18-22,1,94542
Medical,18-22,2,107634
Medical,23-30,1,297636
Medical,23-30,2,347147
Medical,31-40,1,408904
Medical,31-40,2,408163
Medical,41-50,1,274726
Medical,41-50,2,265270
Medical,51-60,1,183009
Medical,51-60,2,196175
Medical,61-64,1,51677
Medical,61-64,2,63030
Medical,greater than 64,1,62721
Medical,greater than 64,2,103384
Medical（Coins） ,18-22,1,5
Medical（Coins） ,18-22,2,5
Medical（Coins） ,23-30,1,21
Medical（Coins） ,23-30,2,14
Medical（Coins） ,31-40,1,93
Medical（Coins） ,31-40,2,94
Medical（Coins） ,41-50,1,356
Medical（Coins） ,41-50,2,333
Medical（Coins） ,51-60,1,687
Medical（Coins） ,51-60,2,464
Medical（Coins） ,61-64,1,343
Medical（Coins） ,61-64,2,204
Medical（Coins） ,greater than 64,1,553
Medical（Coins） ,greater than 64,2,269
M.I.P,18-22,1,2697
M.I.P,18-22,2,606
M.I.P,23-30,1,88238
M.I.P,23-30,2,13068
M.I.P,31-40,1,208858
M.I.P,31-40,2,28840
M.I.P,41-50,1,98739
M.I.P,41-50,2,12723
M.I.P,51-60,1,24090
M.I.P,51-60,2,3656
M.I.P,61-64,1,2413
M.I.P,61-64,2,611
M.I.P,greater than 64,1,1206
M.I.P,greater than 64,2,377
Nursing care,18-22,1,14
Nursing care,18-22,2,19
Nursing care,23-30,1,119
Nursing care,23-30,2,59
Nursing care,31-40,1,167
Nursing care,31-40,2,100
Nursing care,41-50,1,120
Nursing care,41-50,2,114
Nursing care,51-60,1,112
Nursing care,51-60,2,153
Nursing care,61-64,1,25
Nursing care,61-64,2,37
Nursing care,greater than 64,1,11
Nursing care,greater than 64,2,10
Term life,18-22,1,12272
Term life,18-22,2,7237
Term life,23-30,1,51000
Term life,23-30,2,17724
Term life,31-40,1,95250
Term life,31-40,2,25914
Term life,41-50,1,89231
Term life,41-50,2,27193
Term life,51-60,1,63572
Term life,51-60,2,22952
Term life,61-64,1,11749
Term life,61-64,2,6021
Term life,greater than 64,1,10672
Term life,greater than 64,2,7387
VL Endowment,18-22,1,1025
VL Endowment,18-22,2,899
VL Endowment,23-30,1,2462
VL Endowment,23-30,2,1336
VL Endowment,31-40,1,2585
VL Endowment,31-40,2,1151
VL Endowment,41-50,1,2210
VL Endowment,41-50,2,1738
VL Endowment,51-60,1,1500
VL Endowment,51-60,2,1099
VL Endowment,61-64,1,188
VL Endowment,61-64,2,71
VL Endowment,greater than 64,1,53
VL Endowment,greater than 64,2,22
VL Whole life,18-22,1,717
VL Whole life,18-22,2,392
VL Whole life,23-30,1,4974
VL Whole life,23-30,2,2008
VL Whole life,31-40,1,6240
VL Whole life,31-40,2,2225
VL Whole life,41-50,1,2868
VL Whole life,41-50,2,1323
VL Whole life,51-60,1,1465
VL Whole life,51-60,2,1040
VL Whole life,61-64,1,294
VL Whole life,61-64,2,256
VL Whole life,greater than 64,1,305
VL Whole life,greater than 64,2,314
Whole life,18-22,1,31002
Whole life,18-22,2,21250
Whole life,23-30,1,120513
Whole life,23-30,2,70522
Whole life,31-40,1,158968
Whole life,31-40,2,91584
Whole life,41-50,1,95189
Whole life,41-50,2,68606
Whole life,51-60,1,51208
Whole life,51-60,2,47678
Whole life,61-64,1,12179
Whole life,61-64,2,14768
Whole life,greater than 64,1,16346
Whole life,greater than 64,2,24252
