Policy Type Name,a_group,Insured'S Gender,insurance_duration average
VL Endowment,61-64,2,102.5000000000000000
VL Endowment,greater than 64,1,83.4000000000000000
VL Endowment,greater than 64,2,119.0000000000000000
VL Whole life,18-22,1,82.0000000000000000
VL Whole life,18-22,2,75.0000000000000000
VL Whole life,23-30,1,88.7647058823529412
VL Whole life,23-30,2,108.5000000000000000
VL Whole life,31-40,1,112.2500000000000000
VL Whole life,31-40,2,131.1764705882352941
VL Whole life,41-50,1,111.4943820224719101
VL Whole life,41-50,2,156.6451612903225806
VL Whole life,51-60,1,113.7812500000000000
VL Whole life,51-60,2,125.3793103448275862
VL Whole life,61-64,1,99.6451612903225806
VL Whole life,61-64,2,110.1538461538461538
VL Whole life,greater than 64,1,120.9558823529411765
VL Whole life,greater than 64,2,119.8636363636363636
Whole life,18-22,1,97.2061068702290076
Whole life,18-22,2,145.7352941176470588
Whole life,23-30,1,123.7843601895734597
Whole life,23-30,2,124.7459016393442623
Whole life,31-40,1,136.4876033057851240
Whole life,31-40,2,134.4501845018450185
Whole life,41-50,1,131.7523689197725837
Whole life,41-50,2,133.9983974358974359
Whole life,51-60,1,130.6641373801916933
Whole life,51-60,2,153.0245989304812834
Whole life,61-64,1,108.4186320754716981
Whole life,61-64,2,128.7142857142857143
Whole life,greater than 64,1,67.2335546167773084
Whole life,greater than 64,2,83.8211055276381910
